unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783907227,49000,18003000,2594000000,0
1783907228,51000,35097000,2788000000,12
1783907229,60000,54005000,2859000000,31
1783907230,72000,113007000,2885000000,75
1783907231,75000,136033000,2895000000,91
1783907232,76000,141090000,2898000000,95
1783907233,75000,140054000,2899000000,97
1783907234,75000,140094000,2900000000,97
1783907235,76000,141016000,2900000000,97
1783907236,76000,141071000,2900000000,97
1783907237,77000,146031000,2900000000,98
1783907238,78000,149036000,2900000000,99
1783907239,79000,150070000,2900000000,100
1783907240,75000,140027000,2900000000,98
1783907241,76000,132039000,2900000000,98
1783907242,74000,129007000,2900000000,98
1783907243,78000,128074000,2900000000,98
1783907244,75000,128008000,2900000000,98
1783907245,79000,131004000,2900000000,96
1783907246,80000,145059000,2900000000,99
1783907247,80000,150063000,2900000000,99
1783907248,80000,152052000,2900000000,100
1783907250,83000,152082000,2900000000,100
1783907251,78000,141040000,2900000000,98
1783907252,77000,137058000,2900000000,98
1783907253,78000,135067000,2900000000,98
1783907254,80000,135036000,2900000000,98
1783907255,79000,135032000,2900000000,98
1783907256,79000,135062000,2900000000,98
1783907257,84000,143011000,2900000000,98
1783907258,83000,150047000,2900000000,99
1783907259,83000,153060000,2900000000,99
1783907260,83000,154094000,2900000000,100
1783907261,85000,155034000,2900000000,100
1783907262,84000,155046000,2900000000,100
1783907263,81000,149007000,2900000000,98
1783907264,81000,147002000,2900000000,98
1783907265,81000,146056000,2900000000,98
1783907266,82000,147004000,2900000000,98
1783907267,83000,146096000,2900000000,98
1783907268,81000,146081000,2900000000,98
1783907269,85000,147019000,2900000000,98
