unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783909203,49000,20076000,2594000000,0
1783909204,51000,34098000,2788000000,9
1783909205,62000,61091000,2859000000,42
1783909206,68000,103046000,2885000000,79
1783909207,70000,120056000,2895000000,92
1783909208,66000,124058000,2898000000,96
1783909209,69000,122007000,2899000000,98
1783909210,69000,120086000,2900000000,99
1783909211,68000,120030000,2900000000,99
1783909212,68000,120058000,2900000000,99
1783909213,70000,120001000,2900000000,99
1783909214,73000,125018000,2900000000,99
1783909215,74000,128007000,2900000000,100
1783909216,74000,129015000,2900000000,100
1783909217,68000,126003000,2900000000,99
1783909218,67000,122022000,2900000000,100
1783909219,69000,120081000,2900000000,100
1783909220,68000,120023000,2900000000,100
1783909221,68000,120008000,2900000000,100
1783909222,69000,120005000,2900000000,100
1783909223,75000,125010000,2900000000,100
1783909224,75000,128054000,2900000000,100
1783909225,75000,130004000,2900000000,100
1783909226,77000,130077000,2900000000,100
1783909227,76000,130074000,2900000000,100
1783909228,69000,110088000,2900000000,99
1783909229,69000,106073000,2900000000,99
1783909230,71000,115011000,2900000000,100
1783909231,71000,118021000,2900000000,100
1783909232,69000,119036000,2900000000,100
1783909233,69000,119077000,2900000000,100
1783909234,77000,125025000,2900000000,100
1783909235,76000,128058000,2900000000,100
1783909236,76000,130063000,2900000000,100
1783909237,78000,131073000,2900000000,100
1783909238,77000,131077000,2900000000,100
1783909239,77000,132017000,2900000000,100
1783909240,70000,123037000,2900000000,99
1783909241,70000,108096000,2900000000,98
1783909242,71000,104031000,2900000000,99
1783909243,72000,114005000,2900000000,99
1783909244,71000,117080000,2900000000,100
1783909245,72000,119018000,2900000000,100
1783909246,71000,119076000,2900000000,100
