unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1783909603,46000,27074000,2594000000,0
1783909604,46000,32094000,2788000000,1
1783909605,46000,35004000,2859000000,2
1783909606,46000,31023000,2885000000,5
1783909607,46000,29095000,2894000000,6
1783909608,46000,29038000,2898000000,6
1783909609,46000,30010000,2899000000,6
1783909610,46000,32085000,2900000000,7
1783909611,46000,30082000,2900000000,7
1783909612,46000,29062000,2900000000,7
1783909613,47000,29038000,2900000000,7
1783909614,47000,29075000,2900000000,7
1783909615,47000,30032000,2900000000,7
1783909616,47000,30000000,2900000000,7
1783909617,47000,29074000,2900000000,7
1783909618,47000,29065000,2900000000,7
1783909619,47000,29075000,2900000000,7
1783909620,46000,29066000,2900000000,7
1783909621,46000,30010000,2900000000,7
1783909622,46000,29086000,2900000000,7
1783909623,47000,29094000,2900000000,7
1783909624,47000,30054000,2900000000,7
1783909625,47000,31004000,2900000000,7
1783909626,47000,31060000,2900000000,7
1783909627,47000,32027000,2900000000,6
1783909628,47000,31072000,2900000000,7
1783909629,47000,31088000,2900000000,6
1783909630,47000,31079000,2900000000,7
1783909631,47000,32000000,2900000000,7
1783909632,47000,32002000,2900000000,7
1783909634,47000,32026000,2900000000,6
1783909635,47000,32028000,2900000000,7
1783909636,47000,32008000,2900000000,7
1783909637,47000,32004000,2900000000,7
1783909638,47000,32023000,2900000000,7
1783909639,47000,32030000,2900000000,7
1783909640,46000,32054000,2900000000,7
1783909641,47000,32004000,2900000000,7
1783909642,58000,44093000,2900000000,18
1783909643,64000,100081000,2900000000,70
1783909644,66000,122005000,2900000000,89
1783909645,69000,130019000,2900000000,96
1783909646,68000,133063000,2900000000,98
1783909647,70000,134097000,2900000000,99
1783909648,67000,125057000,2900000000,99
1783909649,67000,122000000,2900000000,99
1783909650,67000,120078000,2900000000,99
1783909651,67000,120025000,2900000000,100
1783909652,66000,120014000,2900000000,100
1783909653,67000,120004000,2900000000,100
1783909654,68000,120000000,2900000000,100
1783909655,71000,129047000,2900000000,99
1783909656,72000,133074000,2900000000,100
1783909657,72000,135081000,2900000000,100
1783909658,72000,136052000,2900000000,100
1783909659,72000,136077000,2900000000,100
1783909660,72000,136022000,2900000000,100
1783909661,68000,118013000,2900000000,98
1783909662,67000,111093000,2900000000,98
1783909663,67000,109035000,2900000000,99
1783909664,69000,109050000,2900000000,99
1783909665,68000,115096000,2900000000,100
1783909666,69000,118047000,2900000000,100
1783909667,69000,118092000,2900000000,100
1783909668,69000,119041000,2900000000,100
1783909669,69000,119093000,2900000000,100
1783909670,71000,120004000,2900000000,100
1783909671,70000,120009000,2900000000,100
1783909672,73000,129045000,2900000000,100
1783909673,73000,135081000,2900000000,100
1783909674,72000,137059000,2900000000,100
1783909675,74000,139018000,2900000000,100
1783909676,74000,139015000,2900000000,100
1783909677,77000,139032000,2900000000,100
1783909678,75000,139070000,2900000000,100
1783909679,76000,139068000,2900000000,100
1783909680,71000,123075000,2900000000,99
1783909681,71000,116039000,2900000000,99
1783909682,72000,114000000,2900000000,99
1783909683,72000,113024000,2900000000,99
1783909684,70000,112085000,2900000000,99
1783909685,71000,113038000,2900000000,99
1783909686,71000,114001000,2900000000,99
1783909687,73000,116075000,2900000000,100
1783909688,73000,119000000,2900000000,100
1783909689,72000,119047000,2900000000,100
1783909690,73000,119082000,2900000000,100
1783909691,72000,119087000,2900000000,100
1783909692,71000,119097000,2900000000,100
1783909693,77000,127016000,2900000000,100
1783909694,76000,136004000,2900000000,100
1783909695,78000,138088000,2900000000,100
1783909696,78000,140045000,2900000000,100
1783909697,78000,140082000,2900000000,100
1783909698,77000,141036000,2900000000,100
1783909699,80000,141018000,2900000000,100
1783909700,79000,141049000,2900000000,100
1783909701,79000,141047000,2900000000,100
1783909702,79000,141094000,2900000000,100
1783909703,75000,138090000,2900000000,98
1783909704,74000,125011000,2900000000,99
1783909705,74000,120044000,2900000000,99
1783909707,75000,118038000,2900000000,99
1783909708,74000,117046000,2900000000,99
1783909709,75000,117075000,2900000000,99
1783909710,75000,117090000,2900000000,99
1783909711,74000,117032000,2900000000,99
1783909712,76000,117002000,2900000000,99
1783909713,76000,117069000,2900000000,99
1783909714,76000,117099000,2900000000,99
1783909715,75000,118012000,2900000000,99
1783909716,77000,118060000,2900000000,99
1783909717,74000,118095000,2900000000,99
1783909718,75000,118089000,2900000000,99
1783909719,76000,118080000,2900000000,99
