unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1784170121,49000,25076000,2900000000,0
1784170122,53000,41013000,2900000000,11
1784170123,60000,56047000,2900000000,30
1784170124,72000,113071000,2900000000,74
1784170125,75000,135054000,2900000000,90
1784170126,71000,142040000,2900000000,95
1784170128,70000,128053000,2900000000,97
1784170129,71000,123008000,2900000000,97
1784170130,72000,121008000,2900000000,97
1784170131,71000,120046000,2900000000,97
1784170132,77000,136029000,2900000000,98
1784170133,78000,145056000,2900000000,99
1784170134,79000,149036000,2900000000,99
1784170135,73000,142078000,2900000000,98
1784170136,73000,132079000,2900000000,98
1784170137,74000,128085000,2900000000,98
1784170138,74000,126082000,2900000000,98
1784170139,75000,127014000,2900000000,98
1784170140,73000,126098000,2900000000,98
1784170141,75000,127040000,2900000000,98
1784170142,76000,127066000,2900000000,98
