model,repeat,parallel,prompt_tps,decode_tps,combined_tps
qwen30,1,8,1289.589722,226.994736,666.031738
qwen30,1,9,1357.624878,145.612656,509.483704
qwen30,2,8,1360.946167,234.941162,694.877136
qwen30,2,9,1356.778198,145.940918,510.191132
qwen30,3,8,1360.904541,236.139816,696.961121
qwen30,3,9,1356.873291,145.830704,509.932434
qwen80,1,8,739.329773,141.542404,400.791107
qwen80,1,9,754.498962,98.635757,323.837494
qwen80,2,8,746.496582,145.382126,408.603943
qwen80,2,9,752.219666,99.222473,324.760559
qwen80,3,8,749.701599,146.89621,411.760406
qwen80,3,9,755.520691,98.485558,323.663666
