unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1784172693.6345239,44000,37089000,2900000000,0
1784172694.6352131,45000,39080000,2900000000,1
1784172695.6403463,45000,42004000,2900000000,5
1784172696.6415737,45000,37086000,2900000000,6
1784172697.642595,45000,35020000,2900000000,6
1784172698.643537,45000,33009000,2900000000,7
1784172699.6438944,45000,32047000,2900000000,7
1784172700.6449463,45000,35023000,2900000000,7
1784172701.645946,45000,34056000,2900000000,7
1784172702.6463857,45000,34007000,2900000000,7
1784172703.6471922,44000,33082000,2900000000,7
1784172704.6475585,45000,33061000,2900000000,7
1784172705.6485634,45000,32097000,2900000000,7
1784172706.6498308,44000,32060000,2900000000,7
1784172707.6508093,45000,32055000,2900000000,7
1784172708.651947,45000,33015000,2900000000,7
1784172709.6529694,45000,33017000,2900000000,7
1784172710.6533349,45000,33028000,2900000000,7
1784172711.6543179,45000,33027000,2900000000,7
1784172712.655514,45000,33074000,2900000000,7
1784172713.6564429,45000,35060000,2900000000,6
1784172714.6568043,53000,41081000,2900000000,10
1784172715.657946,53000,79056000,2900000000,60
1784172716.6591208,46000,86057000,2900000000,73
1784172717.6602285,45000,47093000,2900000000,27
1784172718.6613624,45000,35085000,2900000000,10
1784172719.6623535,53000,77040000,2900000000,58
1784172720.6635046,46000,87064000,2900000000,73
1784172721.6644871,46000,54022000,2900000000,27
1784172722.6649215,46000,41017000,2900000000,10
1784172723.6656942,54000,77072000,2900000000,58
1784172724.6669936,47000,89014000,2900000000,74
1784172725.6680286,46000,54037000,2900000000,27
1784172726.6693718,46000,36053000,2900000000,10
1784172727.6704624,53000,72007000,2900000000,58
1784172728.671645,47000,83003000,2900000000,74
1784172729.6737127,46000,45082000,2900000000,27
1784172730.6748796,46000,35031000,2900000000,10
1784172731.6757267,54000,70089000,2900000000,58
1784172732.676874,47000,79061000,2900000000,73
1784172733.677237,46000,45092000,2900000000,27
1784172734.678082,47000,34025000,2900000000,10
1784172735.6785564,54000,73051000,2900000000,59
1784172736.6796584,48000,83039000,2900000000,72
1784172737.681585,47000,45091000,2900000000,26
1784172738.6827917,47000,33087000,2900000000,10
1784172739.683959,55000,74061000,2900000000,59
1784172740.684932,48000,83049000,2900000000,71
1784172741.6852214,47000,44084000,2900000000,26
1784172742.686383,47000,34071000,2900000000,10
1784172743.6873426,54000,76061000,2900000000,60
1784172744.6885693,49000,84063000,2900000000,70
1784172745.689742,48000,50054000,2900000000,26
1784172746.6905293,48000,37062000,2900000000,9
1784172747.6909337,55000,76098000,2900000000,60
1784172748.6920683,49000,84004000,2900000000,69
1784172749.6938865,48000,47073000,2900000000,25
1784172750.6943119,48000,36042000,2900000000,9
1784172751.6953883,55000,80005000,2900000000,61
1784172752.6966605,49000,84016000,2900000000,68
1784172753.6975486,48000,49067000,2900000000,25
