unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1784172920.0074828,50000,26087000,2900000000,0
1784172921.00882,49000,35080000,2900000000,0
1784172922.0096633,49000,38067000,2900000000,2
1784172923.0100536,49000,35043000,2900000000,5
1784172924.0110059,49000,34006000,2900000000,6
1784172925.0121238,49000,34070000,2900000000,7
1784172926.013407,49000,33081000,2900000000,7
1784172927.014538,49000,33018000,2900000000,7
1784172928.0155969,49000,32089000,2900000000,7
1784172929.0166051,49000,34032000,2900000000,7
1784172930.017787,49000,39093000,2900000000,7
1784172931.0189223,49000,39046000,2900000000,7
1784172932.020041,50000,37084000,2900000000,7
1784172933.021128,50000,35009000,2900000000,7
1784172934.022326,49000,34009000,2900000000,7
1784172935.023458,49000,33077000,2900000000,7
1784172936.0245411,49000,33085000,2900000000,7
1784172937.026786,49000,34008000,2900000000,7
1784172938.0279171,49000,34055000,2900000000,7
1784172939.0299494,49000,35029000,2900000000,7
1784172940.0309017,49000,37078000,2900000000,7
1784172941.031309,49000,37069000,2900000000,5
1784172942.0323784,49000,51012000,2900000000,20
1784172943.0334334,49000,48037000,2900000000,10
1784172944.0344412,63000,88082000,2900000000,58
1784172945.035893,64000,114000000,2900000000,83
