unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1784221573.135346749,49000,41054000,2900000000,0
1784221574.140886742,49000,48082000,2900000000,0
1784221575.146839806,49000,45080000,2900000000,0
1784221576.151691798,49000,43077000,2900000000,0
1784221577.157092186,49000,42031000,2900000000,0
1784221578.162617455,49000,45049000,2900000000,0
1784221579.167553632,49000,40032000,2900000000,0
1784221580.172155009,49000,40061000,2900000000,0
1784221581.178499565,49000,45057000,2900000000,0
1784221582.182974817,49000,41025000,2900000000,0
1784221583.187972293,48000,38034000,2900000000,0
1784221584.192484983,49000,38074000,2900000000,0
1784221585.197481260,49000,36024000,2900000000,0
1784221586.201763276,49000,37058000,2900000000,0
1784221587.207528715,48000,37023000,2900000000,0
1784221588.211882344,48000,38044000,2900000000,0
1784221589.217629499,48000,38038000,2900000000,0
1784221590.222741969,49000,40001000,2900000000,0
1784221591.227945448,48000,37033000,2900000000,0
1784221592.233302221,49000,39031000,2900000000,0
1784221593.238150217,49000,49011000,2900000000,0
1784221594.243088570,49000,47002000,2900000000,0
1784221595.248076731,49000,47002000,2900000000,0
1784221596.253540512,49000,42086000,2900000000,0
1784221597.258698716,49000,40009000,2900000000,0
1784221598.263641994,48000,37074000,2900000000,0
1784221599.268654146,48000,37049000,2900000000,0
1784221600.273876903,48000,38012000,2900000000,0
1784221601.279138062,49000,47071000,2900000000,0
1784221602.284550960,49000,46007000,2900000000,0
1784221603.292444833,49000,44063000,2900000000,0
1784221604.300331279,49000,42048000,2900000000,0
1784221605.306050413,48000,39087000,2900000000,0
1784221606.310695429,48000,38019000,2900000000,0
1784221607.316750150,49000,57008000,2900000000,2
1784221608.334015429,49000,51044000,2900000000,1
1784221609.338899688,56000,55048000,2900000000,16
1784221610.344106028,49000,58081000,2900000000,25
1784221611.349660373,51000,49059000,2900000000,15
1784221612.355614404,49000,49017000,2900000000,14
1784221613.361428573,49000,44081000,2900000000,6
1784221614.365759982,49000,42094000,2900000000,2
1784221615.369775140,49000,44051000,2900000000,4
1784221616.376568130,49000,42084000,2900000000,2
1784221617.380908721,49000,42071000,2900000000,1
1784221618.384837189,49000,44098000,2900000000,0
1784221619.389587698,49000,44064000,2900000000,2
1784221620.393956736,48000,40043000,2900000000,1
1784221621.399649978,48000,37073000,2900000000,0
1784221622.404105713,49000,44006000,2900000000,0
1784221623.409527303,49000,39083000,2900000000,0
1784221624.414618672,54000,72016000,2900000000,53
1784221625.420195354,54000,93004000,2900000000,83
1784221626.424761658,54000,99034000,2900000000,93
1784221627.430784848,54000,100017000,2900000000,97
1784221628.436017064,55000,100025000,2900000000,99
1784221629.441796074,55000,99025000,2900000000,99
1784221630.446678410,55000,98082000,2900000000,100
1784221631.452054756,55000,96020000,2900000000,94
1784221632.457978196,56000,99047000,2900000000,98
1784221633.463792570,56000,103013000,2900000000,99
1784221634.469965375,57000,102007000,2900000000,100
1784221635.474959596,56000,100085000,2900000000,99
1784221636.480665297,57000,100041000,2900000000,100
1784221637.485637656,57000,100024000,2900000000,99
1784221638.491054765,57000,100048000,2900000000,100
1784221639.496441283,57000,101020000,2900000000,100
1784221640.501570280,58000,94037000,2900000000,93
1784221641.506345717,58000,94084000,2900000000,97
1784221642.511032046,58000,95066000,2900000000,99
1784221643.516752231,58000,96031000,2900000000,100
1784221644.521827047,58000,95060000,2900000000,99
1784221645.526804970,58000,95023000,2900000000,100
1784221646.531527264,58000,95047000,2900000000,100
1784221647.537422790,58000,96016000,2900000000,100
1784221648.541838453,57000,95067000,2900000000,99
1784221649.547793102,58000,95039000,2900000000,100
1784221650.553883818,58000,95080000,2900000000,100
1784221651.558559238,58000,96033000,2900000000,100
1784221652.564042244,59000,96056000,2900000000,99
1784221653.568736114,59000,97050000,2900000000,100
1784221654.574709917,59000,98038000,2900000000,100
1784221655.579464271,58000,99008000,2900000000,100
1784221656.584384158,59000,100000000,2900000000,100
1784221657.589878129,59000,98020000,2900000000,91
1784221658.594936584,59000,101034000,2900000000,97
1784221659.600468312,59000,101096000,2900000000,99
1784221660.606776363,60000,102008000,2900000000,100
1784221661.612770348,59000,99068000,2900000000,99
1784221662.617607577,59000,97034000,2900000000,100
1784221663.622933088,60000,97047000,2900000000,100
1784221664.628900285,60000,101025000,2900000000,100
1784221665.634064246,59000,99022000,2900000000,99
1784221666.639428538,60000,96087000,2900000000,100
1784221667.644433774,59000,96094000,2900000000,100
1784221668.649624130,60000,97032000,2900000000,100
1784221669.654294450,59000,101008000,2900000000,100
1784221670.659726012,60000,98031000,2900000000,100
1784221671.664676184,59000,97034000,2900000000,100
1784221672.670375564,61000,97045000,2900000000,100
1784221673.676333039,60000,97092000,2900000000,100
1784221674.682004681,60000,93041000,2900000000,81
1784221675.687358265,60000,95053000,2900000000,93
1784221676.692025713,61000,96076000,2900000000,97
1784221677.696621762,60000,97099000,2900000000,99
1784221678.701821119,61000,98094000,2900000000,100
1784221679.707259973,61000,99001000,2900000000,99
1784221680.713611859,61000,99070000,2900000000,100
1784221681.720340244,61000,100060000,2900000000,100
1784221682.726021845,62000,101042000,2900000000,100
1784221683.731621436,61000,100061000,2900000000,99
1784221684.736673213,61000,98052000,2900000000,100
1784221685.741662948,61000,98051000,2900000000,100
1784221686.748036247,61000,98086000,2900000000,100
1784221687.753496336,60000,99051000,2900000000,100
1784221688.759780701,61000,101023000,2900000000,100
1784221689.765408745,61000,101002000,2900000000,100
1784221690.770665894,61000,101059000,2900000000,100
1784221691.775991119,62000,100091000,2900000000,100
1784221692.781214322,55000,90015000,2900000000,83
