unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1784221694.532698906,55000,47051000,2900000000,15
1784221695.536656319,55000,50095000,2900000000,5
1784221696.541498836,55000,47041000,2900000000,2
1784221697.546153180,55000,43050000,2900000000,1
1784221698.551868927,55000,40013000,2900000000,0
1784221699.557134231,55000,45004000,2900000000,0
1784221700.562453771,54000,41025000,2900000000,0
1784221701.567569737,54000,41021000,2900000000,0
1784221702.571840876,54000,44084000,2900000000,0
1784221703.576737384,54000,41063000,2900000000,0
1784221704.581524943,54000,39039000,2900000000,0
1784221705.586775570,54000,39042000,2900000000,0
1784221706.592045783,54000,37040000,2900000000,0
1784221707.597815135,54000,39080000,2900000000,0
1784221708.604293500,54000,42070000,2900000000,0
1784221709.608908007,53000,42032000,2900000000,0
1784221710.614737030,54000,39079000,2900000000,0
1784221711.620125717,53000,40092000,2900000000,0
1784221712.626070504,53000,38014000,2900000000,0
1784221713.632405994,53000,40050000,2900000000,0
1784221714.639145972,53000,49000000,2900000000,0
1784221715.643685654,53000,44027000,2900000000,0
1784221716.650425876,53000,47074000,2900000000,0
1784221717.661180258,53000,47085000,2900000000,0
1784221718.666565386,53000,45059000,2900000000,0
1784221719.671623562,53000,44001000,2900000000,0
1784221720.676166702,53000,49064000,2900000000,0
1784221721.680407789,53000,46007000,2900000000,0
1784221722.685264433,53000,52091000,2900000000,0
1784221723.690220079,53000,42097000,2900000000,0
1784221724.695720821,52000,41027000,2900000000,0
1784221725.701046813,53000,43060000,2900000000,0
1784221726.705457614,53000,46064000,2900000000,0
1784221727.709806006,52000,41058000,2900000000,0
1784221728.715766141,53000,51054000,2900000000,1
1784221729.726064378,53000,61060000,2900000000,2
1784221730.731778484,52000,46099000,2900000000,1
1784221731.736918666,53000,58071000,2900000000,20
1784221732.741555655,53000,45087000,2900000000,7
1784221733.748350559,55000,48050000,2900000000,12
1784221734.754620476,52000,50001000,2900000000,9
1784221735.760119668,52000,45012000,2900000000,3
1784221736.765387484,52000,42065000,2900000000,1
1784221737.771173342,52000,43023000,2900000000,3
1784221738.776430325,52000,41073000,2900000000,1
1784221739.781875684,52000,41072000,2900000000,0
1784221740.787491576,52000,41034000,2900000000,3
1784221741.792384526,52000,40045000,2900000000,1
1784221742.797658796,52000,34076000,2900000000,0
1784221743.803328874,52000,45072000,2900000000,0
1784221744.808365628,52000,42014000,2900000000,0
1784221745.813618063,56000,49068000,2900000000,18
1784221746.820039892,56000,81042000,2900000000,70
1784221747.826039755,57000,92061000,2900000000,89
1784221748.832085753,57000,97004000,2900000000,96
1784221749.837731729,57000,98052000,2900000000,98
1784221750.843095967,58000,98094000,2900000000,99
1784221751.848340901,57000,101069000,2900000000,99
1784221752.854551313,53000,98032000,2900000000,89
1784221753.866268136,59000,102011000,2900000000,96
1784221754.871399390,59000,103086000,2900000000,99
1784221755.876521637,58000,102049000,2900000000,99
1784221756.881687653,59000,102082000,2900000000,100
1784221757.886923318,59000,105011000,2900000000,100
1784221758.891801194,59000,102090000,2900000000,100
1784221759.896603049,59000,101079000,2900000000,99
1784221760.901877063,60000,101062000,2900000000,100
1784221761.907127952,60000,96029000,2900000000,87
1784221762.912666482,61000,101000000,2900000000,95
1784221763.917405325,61000,103025000,2900000000,98
1784221764.922968896,60000,103071000,2900000000,99
1784221765.927808981,60000,102007000,2900000000,99
1784221766.933523903,60000,101080000,2900000000,100
1784221767.939321249,60000,101068000,2900000000,99
1784221768.944502150,60000,101024000,2900000000,100
1784221769.950376167,61000,101044000,2900000000,100
1784221770.955919437,61000,101066000,2900000000,99
1784221771.961486384,60000,101037000,2900000000,100
1784221772.967462854,61000,101068000,2900000000,100
1784221773.973555683,55000,97054000,2900000000,90
1784221774.978338541,61000,98070000,2900000000,93
1784221775.985073062,61000,100074000,2900000000,98
1784221776.991548028,62000,102036000,2900000000,99
1784221777.997054069,62000,101076000,2900000000,99
1784221779.002651480,62000,102007000,2900000000,100
1784221780.008943639,62000,102053000,2900000000,100
1784221781.014793489,62000,103033000,2900000000,100
1784221782.019852196,62000,104039000,2900000000,100
1784221783.024793077,62000,105071000,2900000000,100
1784221784.030124242,62000,109091000,2900000000,100
1784221785.035365005,62000,105020000,2900000000,100
1784221786.041263602,62000,107033000,2900000000,100
1784221787.046654570,62000,101003000,2900000000,85
1784221788.051666582,62000,105053000,2900000000,95
1784221789.057866220,62000,109095000,2900000000,98
1784221790.063964715,62000,108040000,2900000000,99
1784221791.070042517,62000,106001000,2900000000,99
1784221792.075198274,62000,106039000,2900000000,100
1784221793.080551141,61000,106075000,2900000000,99
1784221794.085688536,62000,105045000,2900000000,100
1784221795.090489360,63000,105082000,2900000000,100
1784221796.095468566,63000,106082000,2900000000,100
1784221797.100904324,63000,106094000,2900000000,100
1784221798.106355780,63000,108009000,2900000000,100
1784221799.112147830,64000,109078000,2900000000,100
