mode,np,repeats,aggregate_tps_mean,aggregate_tps_stdev,ttft_mean_s,ttft_p95_mean_s,itl_mean_s,errors
hipblaslt-off,1,3,143.37777044394358,0.2444056305767834,0.022429760021623224,0.022429760021623224,0.006912640849542286,0
hipblaslt-off,16,3,896.8254096634031,2.1564311545245736,0.05609383662158507,0.06361609117205565,0.017669856308240767,0
hipblaslt-off,4,3,471.9719391856773,1.5140831306132059,0.024730164509189006,0.02503004990091237,0.008408361151597607,0
hipblaslt-off,8,3,480.9768617547158,0.38914623045200897,0.04769520446037253,0.05121486872861473,0.016497590666042575,0
hipblaslt-off,9,3,540.6666217714042,0.4107147880699337,0.04667644669663989,0.05260236198858668,0.016513863264362563,0
hipblaslt-on,1,3,143.5251032878488,0.5214293086757628,0.020931161008775234,0.020931161008775234,0.00691138137378456,0
hipblaslt-on,16,3,1269.3973710362404,1.1227500902519467,0.04929785394172844,0.05223647574409066,0.012447379990672011,0
hipblaslt-on,4,3,468.3436934983618,1.097586729674235,0.033357181329241335,0.03566763962735422,0.008432144148342214,0
hipblaslt-on,8,3,675.7895371196232,0.7183954411069361,0.04014790537621593,0.04265482137076712,0.011715370200473961,0
hipblaslt-on,9,3,751.3338586052292,2.1029061975962065,0.041742770923991444,0.044767964871910704,0.011847904924302955,0
