unix_s,temp_edge_mC,ppt_uW,sclk_Hz,gpu_busy_pct
1784171762,45000,24080000,2900000000,0
1784171763,58000,79003000,2900000000,55
1784171764,57000,104054000,2900000000,79
1784171765,59000,114019000,2900000000,89
1784171766,60000,117054000,2900000000,93
1784171767,58000,118005000,2900000000,93
1784171768,60000,118072000,2900000000,94
1784171769,60000,119018000,2900000000,94
1784171770,48000,105039000,2900000000,80
1784171771,47000,54015000,2900000000,29
1784171772,47000,34090000,2900000000,11
1784171773,47000,31092000,2900000000,4
1784171774,61000,86001000,2900000000,61
1784171775,64000,107041000,2900000000,84
1784171776,65000,117050000,2900000000,94
1784171777,64000,118092000,2900000000,94
1784171778,64000,119062000,2900000000,95
1784171779,63000,119091000,2900000000,95
1784171780,63000,120001000,2900000000,95
1784171781,49000,70061000,2900000000,47
1784171782,49000,40056000,2900000000,17
1784171783,49000,31065000,2900000000,6
1784171784,61000,77080000,2900000000,54
1784171785,66000,107006000,2900000000,83
1784171786,66000,117081000,2900000000,93
1784171787,69000,121048000,2900000000,96
1784171788,67000,123055000,2900000000,98
1784171789,66000,123073000,2900000000,97
1784171790,69000,126019000,2900000000,99
1784171791,66000,122089000,2900000000,95
1784171792,68000,121001000,2900000000,95
1784171793,67000,120034000,2900000000,95
1784171794,68000,120004000,2900000000,95
1784171795,67000,119089000,2900000000,95
1784171796,69000,119084000,2900000000,95
1784171797,52000,90026000,2900000000,64
1784171798,52000,50090000,2900000000,23
1784171799,51000,36054000,2900000000,8
1784171800,62000,65028000,2900000000,37
1784171801,66000,103055000,2900000000,77
1784171802,67000,117020000,2900000000,91
1784171803,70000,123098000,2900000000,97
1784171804,70000,125057000,2900000000,98
1784171805,71000,127037000,2900000000,99
1784171806,73000,127049000,2900000000,99
1784171807,70000,128096000,2900000000,99
1784171808,72000,128056000,2900000000,98
1784171809,72000,129018000,2900000000,99
1784171811,74000,128043000,2900000000,98
1784171812,73000,129062000,2900000000,98
1784171813,73000,126076000,2900000000,96
1784171814,73000,129016000,2900000000,98
1784171815,73000,126097000,2900000000,96
1784171816,74000,125029000,2900000000,94
1784171817,68000,109000000,2900000000,88
1784171818,71000,111009000,2900000000,91
1784171819,70000,116080000,2900000000,94
1784171820,71000,118084000,2900000000,95
1784171821,55000,77069000,2900000000,53
1784171822,54000,46053000,2900000000,19
1784171823,54000,40055000,2900000000,7
1784171824,65000,75084000,2900000000,46
1784171825,66000,103095000,2900000000,77
1784171826,66000,114007000,2900000000,88
1784171827,66000,117065000,2900000000,92
1784171828,67000,119006000,2900000000,94
1784171829,67000,119033000,2900000000,95
1784171830,67000,119072000,2900000000,95
1784171831,55000,91067000,2900000000,66
1784171832,55000,53044000,2900000000,24
1784171833,54000,35068000,2900000000,9
1784171834,66000,61082000,2900000000,36
1784171835,70000,104019000,2900000000,77
1784171836,71000,119020000,2900000000,91
