# elapsed_s	utc	edge_mC	power_uW	sclk_MHz	od_max_MHz	perf_level
0	2026-07-18T18:57:40Z	39000	16086000	2388	2200	manual
2	2026-07-18T18:57:42Z	40000	19053000	2225	2200	manual
4	2026-07-18T18:57:44Z	41000	19067000	2203	2200	manual
6	2026-07-18T18:57:46Z	41000	19084000	2200	2200	manual
8	2026-07-18T18:57:48Z	41000	19087000	2200	2200	manual
10	2026-07-18T18:57:50Z	41000	19078000	2200	2200	manual
12	2026-07-18T18:57:52Z	41000	19083000	2200	2200	manual
14	2026-07-18T18:57:54Z	42000	19087000	2200	2200	manual
16	2026-07-18T18:57:56Z	41000	19095000	2200	2200	manual
18	2026-07-18T18:57:58Z	42000	20000000	2200	2200	manual
20	2026-07-18T18:58:00Z	42000	20009000	2200	2200	manual
22	2026-07-18T18:58:02Z	42000	20010000	2200	2200	manual
24	2026-07-18T18:58:04Z	43000	20005000	2200	2200	manual
26	2026-07-18T18:58:06Z	42000	20005000	2200	2200	manual
28	2026-07-18T18:58:08Z	42000	20003000	2200	2200	manual
30	2026-07-18T18:58:10Z	43000	20017000	2200	2200	manual
32	2026-07-18T18:58:12Z	43000	20018000	2200	2200	manual
34	2026-07-18T18:58:14Z	43000	20016000	2200	2200	manual
36	2026-07-18T18:58:16Z	43000	20001000	2200	2200	manual
38	2026-07-18T18:58:18Z	43000	20004000	2200	2200	manual
40	2026-07-18T18:58:20Z	60000	64065000	2200	2200	manual
42	2026-07-18T18:58:22Z	63000	80021000	2200	2200	manual
44	2026-07-18T18:58:24Z	62000	81048000	2200	2200	manual
46	2026-07-18T18:58:26Z	64000	82024000	2200	2200	manual
48	2026-07-18T18:58:28Z	66000	83086000	2200	2200	manual
50	2026-07-18T18:58:30Z	64000	83006000	2200	2200	manual
52	2026-07-18T18:58:32Z	65000	82092000	2200	2200	manual
54	2026-07-18T18:58:34Z	66000	83068000	2200	2200	manual
56	2026-07-18T18:58:36Z	65000	83006000	2200	2200	manual
58	2026-07-18T18:58:38Z	67000	85039000	2200	2200	manual
60	2026-07-18T18:58:40Z	65000	84031000	2200	2200	manual
62	2026-07-18T18:58:42Z	66000	87020000	2200	2200	manual
64	2026-07-18T18:58:44Z	68000	89014000	2200	2200	manual
66	2026-07-18T18:58:46Z	64000	84003000	2200	2200	manual
68	2026-07-18T18:58:48Z	65000	86082000	2200	2200	manual
70	2026-07-18T18:58:50Z	64000	83060000	2200	2200	manual
72	2026-07-18T18:58:52Z	64000	82066000	2200	2200	manual
74	2026-07-18T18:58:54Z	64000	82057000	2200	2200	manual
76	2026-07-18T18:58:56Z	64000	83019000	2200	2200	manual
78	2026-07-18T18:58:58Z	64000	82081000	2200	2200	manual
80	2026-07-18T18:59:00Z	63000	82044000	2200	2200	manual
82	2026-07-18T18:59:02Z	63000	82021000	2200	2200	manual
84	2026-07-18T18:59:04Z	63000	82027000	2200	2200	manual
86	2026-07-18T18:59:06Z	63000	82021000	2200	2200	manual
88	2026-07-18T18:59:09Z	63000	82020000	2200	2200	manual
91	2026-07-18T18:59:11Z	63000	82019000	2200	2200	manual
93	2026-07-18T18:59:13Z	62000	81077000	2200	2200	manual
95	2026-07-18T18:59:15Z	63000	82053000	2200	2200	manual
97	2026-07-18T18:59:17Z	62000	81089000	2200	2200	manual
99	2026-07-18T18:59:19Z	63000	82067000	2200	2200	manual
101	2026-07-18T18:59:21Z	62000	82040000	2200	2200	manual
103	2026-07-18T18:59:23Z	63000	82065000	2200	2200	manual
105	2026-07-18T18:59:25Z	63000	82060000	2200	2200	manual
107	2026-07-18T18:59:27Z	63000	82025000	2200	2200	manual
109	2026-07-18T18:59:29Z	62000	81081000	2200	2200	manual
111	2026-07-18T18:59:31Z	62000	82024000	2200	2200	manual
113	2026-07-18T18:59:33Z	63000	82010000	2200	2200	manual
115	2026-07-18T18:59:35Z	62000	81093000	2200	2200	manual
117	2026-07-18T18:59:37Z	62000	81085000	2200	2200	manual
119	2026-07-18T18:59:39Z	62000	81069000	2200	2200	manual
121	2026-07-18T18:59:41Z	62000	82062000	2200	2200	manual
123	2026-07-18T18:59:43Z	64000	89001000	2200	2200	manual
125	2026-07-18T18:59:45Z	63000	87020000	2200	2200	manual
127	2026-07-18T18:59:47Z	62000	83093000	2200	2200	manual
129	2026-07-18T18:59:49Z	62000	83008000	2200	2200	manual
131	2026-07-18T18:59:51Z	62000	82068000	2200	2200	manual
133	2026-07-18T18:59:53Z	63000	81082000	2200	2200	manual
135	2026-07-18T18:59:55Z	62000	82041000	2200	2200	manual
137	2026-07-18T18:59:57Z	62000	82021000	2200	2200	manual
139	2026-07-18T18:59:59Z	63000	82032000	2200	2200	manual
141	2026-07-18T19:00:01Z	62000	84015000	2200	2200	manual
143	2026-07-18T19:00:03Z	63000	82039000	2200	2200	manual
145	2026-07-18T19:00:05Z	62000	82006000	2200	2200	manual
147	2026-07-18T19:00:07Z	62000	82076000	2200	2200	manual
149	2026-07-18T19:00:09Z	62000	82086000	2200	2200	manual
151	2026-07-18T19:00:11Z	62000	82042000	2200	2200	manual
153	2026-07-18T19:00:13Z	63000	81084000	2200	2200	manual
155	2026-07-18T19:00:15Z	62000	82000000	2200	2200	manual
157	2026-07-18T19:00:17Z	62000	82034000	2200	2200	manual
159	2026-07-18T19:00:19Z	62000	81079000	2200	2200	manual
161	2026-07-18T19:00:21Z	62000	82032000	2200	2200	manual
163	2026-07-18T19:00:23Z	62000	82010000	2200	2200	manual
165	2026-07-18T19:00:25Z	62000	81081000	2200	2200	manual
167	2026-07-18T19:00:27Z	62000	81053000	2200	2200	manual
169	2026-07-18T19:00:29Z	63000	82074000	2200	2200	manual
171	2026-07-18T19:00:31Z	61000	82057000	2200	2200	manual
173	2026-07-18T19:00:33Z	62000	82043000	2200	2200	manual
175	2026-07-18T19:00:35Z	62000	82024000	2200	2200	manual
177	2026-07-18T19:00:37Z	63000	82004000	2200	2200	manual
179	2026-07-18T19:00:39Z	63000	82025000	2200	2200	manual
181	2026-07-18T19:00:41Z	64000	83053000	2200	2200	manual
183	2026-07-18T19:00:43Z	63000	82063000	2200	2200	manual
185	2026-07-18T19:00:45Z	62000	82039000	2200	2200	manual
187	2026-07-18T19:00:47Z	66000	90058000	2200	2200	manual
189	2026-07-18T19:00:49Z	65000	86043000	2200	2200	manual
191	2026-07-18T19:00:51Z	62000	84055000	2200	2200	manual
193	2026-07-18T19:00:53Z	62000	82080000	2200	2200	manual
195	2026-07-18T19:00:55Z	62000	83094000	2200	2200	manual
197	2026-07-18T19:00:57Z	62000	82060000	2200	2200	manual
199	2026-07-18T19:00:59Z	63000	82026000	2200	2200	manual
201	2026-07-18T19:01:01Z	62000	82033000	2200	2200	manual
203	2026-07-18T19:01:03Z	63000	81087000	2200	2200	manual
205	2026-07-18T19:01:05Z	62000	82000000	2200	2200	manual
207	2026-07-18T19:01:07Z	62000	82009000	2200	2200	manual
209	2026-07-18T19:01:09Z	63000	82038000	2200	2200	manual
211	2026-07-18T19:01:11Z	63000	82006000	2200	2200	manual
213	2026-07-18T19:01:14Z	63000	82000000	2200	2200	manual
216	2026-07-18T19:01:16Z	63000	81081000	2200	2200	manual
218	2026-07-18T19:01:18Z	62000	82042000	2200	2200	manual
220	2026-07-18T19:01:20Z	62000	82041000	2200	2200	manual
222	2026-07-18T19:01:22Z	62000	82038000	2200	2200	manual
224	2026-07-18T19:01:24Z	62000	82032000	2200	2200	manual
226	2026-07-18T19:01:26Z	62000	82004000	2200	2200	manual
228	2026-07-18T19:01:28Z	63000	82012000	2200	2200	manual
230	2026-07-18T19:01:30Z	62000	82011000	2200	2200	manual
232	2026-07-18T19:01:32Z	63000	83019000	2200	2200	manual
234	2026-07-18T19:01:34Z	62000	82002000	2200	2200	manual
236	2026-07-18T19:01:36Z	63000	81089000	2200	2200	manual
238	2026-07-18T19:01:38Z	62000	82003000	2200	2200	manual
240	2026-07-18T19:01:40Z	62000	82083000	2200	2200	manual
242	2026-07-18T19:01:42Z	63000	82045000	2200	2200	manual
244	2026-07-18T19:01:44Z	62000	82098000	2200	2200	manual
246	2026-07-18T19:01:46Z	62000	82013000	2200	2200	manual
248	2026-07-18T19:01:48Z	63000	82022000	2200	2200	manual
250	2026-07-18T19:01:50Z	65000	85008000	2200	2200	manual
252	2026-07-18T19:01:52Z	63000	87070000	2200	2200	manual
254	2026-07-18T19:01:54Z	63000	83034000	2200	2200	manual
256	2026-07-18T19:01:56Z	63000	82024000	2200	2200	manual
258	2026-07-18T19:01:58Z	63000	82042000	2200	2200	manual
260	2026-07-18T19:02:00Z	62000	81093000	2200	2200	manual
262	2026-07-18T19:02:02Z	62000	82033000	2200	2200	manual
264	2026-07-18T19:02:04Z	62000	82019000	2200	2200	manual
266	2026-07-18T19:02:06Z	62000	82061000	2200	2200	manual
268	2026-07-18T19:02:08Z	63000	82038000	2200	2200	manual
270	2026-07-18T19:02:10Z	63000	81094000	2200	2200	manual
272	2026-07-18T19:02:12Z	63000	81088000	2200	2200	manual
274	2026-07-18T19:02:14Z	63000	81087000	2200	2200	manual
276	2026-07-18T19:02:16Z	62000	81099000	2200	2200	manual
278	2026-07-18T19:02:18Z	63000	82012000	2200	2200	manual
280	2026-07-18T19:02:20Z	63000	82020000	2200	2200	manual
282	2026-07-18T19:02:22Z	63000	82039000	2200	2200	manual
284	2026-07-18T19:02:24Z	63000	82004000	2200	2200	manual
286	2026-07-18T19:02:26Z	62000	81059000	2200	2200	manual
288	2026-07-18T19:02:28Z	63000	82084000	2200	2200	manual
290	2026-07-18T19:02:30Z	63000	82096000	2200	2200	manual
292	2026-07-18T19:02:32Z	63000	82064000	2200	2200	manual
294	2026-07-18T19:02:34Z	63000	82048000	2200	2200	manual
296	2026-07-18T19:02:36Z	63000	82048000	2200	2200	manual
298	2026-07-18T19:02:38Z	64000	81096000	2200	2200	manual
300	2026-07-18T19:02:40Z	63000	82014000	2200	2200	manual
302	2026-07-18T19:02:42Z	64000	82067000	2200	2200	manual
304	2026-07-18T19:02:44Z	63000	82022000	2200	2200	manual
306	2026-07-18T19:02:46Z	64000	82081000	2200	2200	manual
308	2026-07-18T19:02:48Z	63000	81090000	2200	2200	manual
310	2026-07-18T19:02:50Z	62000	82090000	2200	2200	manual
312	2026-07-18T19:02:52Z	63000	83011000	2200	2200	manual
314	2026-07-18T19:02:54Z	65000	89032000	2200	2200	manual
316	2026-07-18T19:02:56Z	63000	88049000	2200	2200	manual
318	2026-07-18T19:02:58Z	64000	86010000	2200	2200	manual
320	2026-07-18T19:03:00Z	63000	83002000	2200	2200	manual
322	2026-07-18T19:03:02Z	64000	82072000	2200	2200	manual
324	2026-07-18T19:03:04Z	63000	82029000	2200	2200	manual
326	2026-07-18T19:03:06Z	62000	82054000	2200	2200	manual
328	2026-07-18T19:03:08Z	64000	82056000	2200	2200	manual
330	2026-07-18T19:03:10Z	63000	81085000	2200	2200	manual
332	2026-07-18T19:03:12Z	63000	82017000	2200	2200	manual
334	2026-07-18T19:03:14Z	63000	82025000	2200	2200	manual
336	2026-07-18T19:03:16Z	63000	82093000	2200	2200	manual
338	2026-07-18T19:03:19Z	63000	82033000	2200	2200	manual
341	2026-07-18T19:03:21Z	63000	82007000	2200	2200	manual
343	2026-07-18T19:03:23Z	65000	85089000	2200	2200	manual
345	2026-07-18T19:03:25Z	64000	82090000	2200	2200	manual
347	2026-07-18T19:03:27Z	63000	82021000	2200	2200	manual
349	2026-07-18T19:03:29Z	63000	82046000	2200	2200	manual
351	2026-07-18T19:03:31Z	63000	82024000	2200	2200	manual
353	2026-07-18T19:03:33Z	63000	81086000	2200	2200	manual
355	2026-07-18T19:03:35Z	63000	82067000	2200	2200	manual
357	2026-07-18T19:03:37Z	63000	82063000	2200	2200	manual
359	2026-07-18T19:03:39Z	64000	84009000	2200	2200	manual
361	2026-07-18T19:03:41Z	64000	82091000	2200	2200	manual
363	2026-07-18T19:03:43Z	64000	82097000	2200	2200	manual
365	2026-07-18T19:03:45Z	64000	83051000	2200	2200	manual
367	2026-07-18T19:03:47Z	63000	82077000	2200	2200	manual
369	2026-07-18T19:03:49Z	65000	83023000	2200	2200	manual
371	2026-07-18T19:03:51Z	64000	82084000	2200	2200	manual
373	2026-07-18T19:03:53Z	64000	83012000	2200	2200	manual
375	2026-07-18T19:03:55Z	63000	83019000	2200	2200	manual
377	2026-07-18T19:03:57Z	64000	82043000	2200	2200	manual
379	2026-07-18T19:03:59Z	63000	83045000	2200	2200	manual
381	2026-07-18T19:04:01Z	67000	93067000	2200	2200	manual
383	2026-07-18T19:04:03Z	64000	85072000	2200	2200	manual
385	2026-07-18T19:04:05Z	64000	83062000	2200	2200	manual
387	2026-07-18T19:04:07Z	63000	84040000	2200	2200	manual
389	2026-07-18T19:04:09Z	64000	82092000	2200	2200	manual
391	2026-07-18T19:04:11Z	64000	82099000	2200	2200	manual
393	2026-07-18T19:04:13Z	64000	82053000	2200	2200	manual
395	2026-07-18T19:04:15Z	64000	84056000	2200	2200	manual
397	2026-07-18T19:04:17Z	64000	83036000	2200	2200	manual
399	2026-07-18T19:04:19Z	63000	82012000	2200	2200	manual
401	2026-07-18T19:04:21Z	63000	82043000	2200	2200	manual
403	2026-07-18T19:04:23Z	64000	82087000	2200	2200	manual
405	2026-07-18T19:04:25Z	64000	82079000	2200	2200	manual
407	2026-07-18T19:04:27Z	64000	82049000	2200	2200	manual
409	2026-07-18T19:04:29Z	64000	81098000	2200	2200	manual
411	2026-07-18T19:04:31Z	63000	81079000	2200	2200	manual
413	2026-07-18T19:04:33Z	64000	82015000	2200	2200	manual
415	2026-07-18T19:04:35Z	64000	82012000	2200	2200	manual
417	2026-07-18T19:04:37Z	64000	82032000	2200	2200	manual
419	2026-07-18T19:04:39Z	64000	82056000	2200	2200	manual
421	2026-07-18T19:04:41Z	64000	82032000	2200	2200	manual
423	2026-07-18T19:04:43Z	64000	82012000	2200	2200	manual
425	2026-07-18T19:04:45Z	64000	83046000	2200	2200	manual
427	2026-07-18T19:04:47Z	64000	82064000	2200	2200	manual
429	2026-07-18T19:04:49Z	64000	83014000	2200	2200	manual
431	2026-07-18T19:04:51Z	65000	83003000	2200	2200	manual
433	2026-07-18T19:04:53Z	64000	82021000	2200	2200	manual
435	2026-07-18T19:04:55Z	63000	82020000	2200	2200	manual
437	2026-07-18T19:04:57Z	64000	82038000	2200	2200	manual
439	2026-07-18T19:04:59Z	63000	82002000	2200	2200	manual
441	2026-07-18T19:05:01Z	64000	82027000	2200	2200	manual
443	2026-07-18T19:05:03Z	65000	86089000	2200	2200	manual
445	2026-07-18T19:05:05Z	65000	91092000	2200	2200	manual
447	2026-07-18T19:05:07Z	64000	86000000	2200	2200	manual
449	2026-07-18T19:05:09Z	64000	83001000	2200	2200	manual
451	2026-07-18T19:05:11Z	64000	83006000	2200	2200	manual
453	2026-07-18T19:05:13Z	64000	82078000	2200	2200	manual
455	2026-07-18T19:05:15Z	63000	82035000	2200	2200	manual
457	2026-07-18T19:05:17Z	64000	82004000	2200	2200	manual
459	2026-07-18T19:05:19Z	64000	82010000	2200	2200	manual
461	2026-07-18T19:05:21Z	63000	83043000	2200	2200	manual
463	2026-07-18T19:05:24Z	64000	82060000	2200	2200	manual
466	2026-07-18T19:05:26Z	64000	83001000	2200	2200	manual
468	2026-07-18T19:05:28Z	64000	82029000	2200	2200	manual
470	2026-07-18T19:05:30Z	63000	82009000	2200	2200	manual
472	2026-07-18T19:05:32Z	64000	81080000	2200	2200	manual
474	2026-07-18T19:05:34Z	63000	82009000	2200	2200	manual
476	2026-07-18T19:05:36Z	63000	82037000	2200	2200	manual
478	2026-07-18T19:05:38Z	64000	82077000	2200	2200	manual
480	2026-07-18T19:05:40Z	64000	83020000	2200	2200	manual
482	2026-07-18T19:05:42Z	64000	82055000	2200	2200	manual
484	2026-07-18T19:05:44Z	64000	84027000	2200	2200	manual
486	2026-07-18T19:05:46Z	64000	82057000	2200	2200	manual
488	2026-07-18T19:05:48Z	64000	82079000	2200	2200	manual
490	2026-07-18T19:05:50Z	64000	82026000	2200	2200	manual
492	2026-07-18T19:05:52Z	64000	82022000	2200	2200	manual
494	2026-07-18T19:05:54Z	64000	82018000	2200	2200	manual
496	2026-07-18T19:05:56Z	63000	82025000	2200	2200	manual
498	2026-07-18T19:05:58Z	66000	83099000	2200	2200	manual
500	2026-07-18T19:06:00Z	63000	83040000	2200	2200	manual
502	2026-07-18T19:06:02Z	64000	83041000	2200	2200	manual
504	2026-07-18T19:06:04Z	64000	82089000	2200	2200	manual
506	2026-07-18T19:06:06Z	64000	82069000	2200	2200	manual
508	2026-07-18T19:06:08Z	63000	84019000	2200	2200	manual
510	2026-07-18T19:06:10Z	64000	86034000	2200	2200	manual
512	2026-07-18T19:06:12Z	64000	85017000	2200	2200	manual
514	2026-07-18T19:06:14Z	64000	82096000	2200	2200	manual
516	2026-07-18T19:06:16Z	65000	83023000	2200	2200	manual
518	2026-07-18T19:06:18Z	63000	82018000	2200	2200	manual
520	2026-07-18T19:06:20Z	63000	81073000	2200	2200	manual
522	2026-07-18T19:06:22Z	63000	82061000	2200	2200	manual
524	2026-07-18T19:06:24Z	64000	82099000	2200	2200	manual
526	2026-07-18T19:06:26Z	64000	82056000	2200	2200	manual
528	2026-07-18T19:06:28Z	64000	82050000	2200	2200	manual
530	2026-07-18T19:06:30Z	64000	82028000	2200	2200	manual
532	2026-07-18T19:06:32Z	64000	82070000	2200	2200	manual
534	2026-07-18T19:06:34Z	64000	82019000	2200	2200	manual
536	2026-07-18T19:06:36Z	65000	83014000	2200	2200	manual
538	2026-07-18T19:06:38Z	64000	82066000	2200	2200	manual
540	2026-07-18T19:06:40Z	64000	82001000	2200	2200	manual
542	2026-07-18T19:06:42Z	63000	81064000	2200	2200	manual
544	2026-07-18T19:06:44Z	63000	82033000	2200	2200	manual
546	2026-07-18T19:06:46Z	64000	83073000	2200	2200	manual
548	2026-07-18T19:06:48Z	64000	82087000	2200	2200	manual
550	2026-07-18T19:06:50Z	65000	82050000	2200	2200	manual
552	2026-07-18T19:06:52Z	64000	82054000	2200	2200	manual
554	2026-07-18T19:06:54Z	65000	82040000	2200	2200	manual
556	2026-07-18T19:06:56Z	64000	82031000	2200	2200	manual
558	2026-07-18T19:06:58Z	66000	83050000	2200	2200	manual
560	2026-07-18T19:07:00Z	64000	82056000	2200	2200	manual
562	2026-07-18T19:07:02Z	64000	82052000	2200	2200	manual
564	2026-07-18T19:07:04Z	64000	82018000	2200	2200	manual
566	2026-07-18T19:07:06Z	64000	82036000	2200	2200	manual
568	2026-07-18T19:07:08Z	64000	82077000	2200	2200	manual
570	2026-07-18T19:07:10Z	64000	83055000	2200	2200	manual
572	2026-07-18T19:07:12Z	67000	85070000	2200	2200	manual
574	2026-07-18T19:07:14Z	64000	88084000	2200	2200	manual
576	2026-07-18T19:07:16Z	65000	83062000	2200	2200	manual
578	2026-07-18T19:07:18Z	65000	82077000	2200	2200	manual
580	2026-07-18T19:07:20Z	64000	82072000	2200	2200	manual
582	2026-07-18T19:07:22Z	64000	82057000	2200	2200	manual
584	2026-07-18T19:07:24Z	65000	83009000	2200	2200	manual
