# elapsed_s	utc	edge_mC	power_uW	sclk_MHz	od_max_MHz	perf_level
0	2026-07-19T00:29:07Z	42000	10004000	600	2900	auto
2	2026-07-19T00:29:09Z	42000	15052000	734	2900	auto
4	2026-07-19T00:29:11Z	42000	16038000	771	2900	auto
6	2026-07-19T00:29:13Z	44000	20033000	2443	2900	auto
8	2026-07-19T00:29:15Z	44000	19081000	2839	2900	auto
10	2026-07-19T00:29:17Z	43000	19043000	2892	2900	auto
12	2026-07-19T00:29:19Z	43000	19046000	2899	2900	auto
14	2026-07-19T00:29:21Z	43000	19058000	2900	2900	auto
16	2026-07-19T00:29:23Z	43000	19048000	2900	2900	auto
18	2026-07-19T00:29:25Z	43000	20008000	2897	2900	auto
20	2026-07-19T00:29:27Z	43000	19098000	2899	2900	auto
22	2026-07-19T00:29:29Z	43000	19056000	2900	2900	auto
24	2026-07-19T00:29:31Z	43000	19045000	2900	2900	auto
26	2026-07-19T00:29:33Z	43000	19040000	2900	2900	auto
28	2026-07-19T00:29:35Z	43000	19053000	2900	2900	auto
30	2026-07-19T00:29:37Z	43000	19036000	2900	2900	auto
32	2026-07-19T00:29:39Z	43000	19033000	2900	2900	auto
34	2026-07-19T00:29:41Z	43000	19039000	2900	2900	auto
36	2026-07-19T00:29:43Z	43000	19038000	2888	2900	auto
38	2026-07-19T00:29:45Z	43000	19071000	2898	2900	auto
40	2026-07-19T00:29:47Z	52000	21006000	1959	2900	auto
42	2026-07-19T00:29:49Z	76000	124010000	2611	2900	auto
44	2026-07-19T00:29:51Z	78000	135092000	2649	2900	auto
46	2026-07-19T00:29:53Z	79000	139044000	2709	2900	auto
48	2026-07-19T00:29:55Z	80000	139064000	2706	2900	auto
50	2026-07-19T00:29:57Z	76000	127015000	2628	2900	auto
52	2026-07-19T00:29:59Z	76000	120095000	2580	2900	auto
54	2026-07-19T00:30:01Z	77000	120011000	2585	2900	auto
56	2026-07-19T00:30:03Z	76000	119097000	2571	2900	auto
58	2026-07-19T00:30:05Z	76000	119098000	2585	2900	auto
60	2026-07-19T00:30:07Z	76000	119094000	2577	2900	auto
62	2026-07-19T00:30:09Z	77000	119098000	2589	2900	auto
64	2026-07-19T00:30:11Z	75000	119097000	2584	2900	auto
66	2026-07-19T00:30:13Z	76000	119099000	2591	2900	auto
68	2026-07-19T00:30:15Z	76000	119098000	2585	2900	auto
70	2026-07-19T00:30:17Z	76000	119098000	2592	2900	auto
72	2026-07-19T00:30:19Z	75000	119099000	2586	2900	auto
74	2026-07-19T00:30:21Z	75000	120000000	2591	2900	auto
76	2026-07-19T00:30:23Z	75000	120003000	2585	2900	auto
78	2026-07-19T00:30:25Z	76000	120009000	2584	2900	auto
80	2026-07-19T00:30:27Z	75000	119094000	2590	2900	auto
82	2026-07-19T00:30:29Z	75000	120012000	2570	2900	auto
84	2026-07-19T00:30:31Z	75000	119098000	2594	2900	auto
86	2026-07-19T00:30:33Z	75000	119094000	2583	2900	auto
88	2026-07-19T00:30:36Z	75000	120000000	2598	2900	auto
91	2026-07-19T00:30:38Z	74000	120002000	2583	2900	auto
93	2026-07-19T00:30:40Z	74000	119096000	2596	2900	auto
95	2026-07-19T00:30:42Z	75000	119097000	2586	2900	auto
97	2026-07-19T00:30:44Z	74000	119097000	2597	2900	auto
99	2026-07-19T00:30:46Z	74000	120003000	2587	2900	auto
101	2026-07-19T00:30:48Z	75000	120001000	2597	2900	auto
103	2026-07-19T00:30:50Z	74000	119093000	2588	2900	auto
105	2026-07-19T00:30:52Z	74000	119098000	2599	2900	auto
107	2026-07-19T00:30:54Z	74000	119097000	2590	2900	auto
109	2026-07-19T00:30:56Z	74000	120001000	2598	2900	auto
111	2026-07-19T00:30:58Z	75000	120005000	2591	2900	auto
113	2026-07-19T00:31:00Z	74000	119099000	2597	2900	auto
115	2026-07-19T00:31:02Z	74000	120001000	2591	2900	auto
117	2026-07-19T00:31:04Z	76000	119066000	2587	2900	auto
119	2026-07-19T00:31:06Z	75000	119095000	2592	2900	auto
121	2026-07-19T00:31:08Z	74000	120005000	2581	2900	auto
123	2026-07-19T00:31:10Z	75000	119089000	2598	2900	auto
125	2026-07-19T00:31:12Z	74000	119097000	2577	2900	auto
127	2026-07-19T00:31:14Z	74000	119098000	2598	2900	auto
129	2026-07-19T00:31:16Z	74000	119092000	2579	2900	auto
131	2026-07-19T00:31:18Z	74000	120006000	2600	2900	auto
133	2026-07-19T00:31:20Z	73000	119096000	2578	2900	auto
