# elapsed_s	utc	edge_mC	power_uW	sclk_MHz	od_max_MHz	perf_level
0	2026-07-18T22:08:42Z	43000	11042000	1215	2900	auto
1	2026-07-18T22:08:43Z	44000	14062000	915	2900	auto
2	2026-07-18T22:08:44Z	43000	15091000	814	2900	auto
3	2026-07-18T22:08:45Z	44000	16033000	784	2900	auto
4	2026-07-18T22:08:46Z	44000	16053000	772	2900	auto
5	2026-07-18T22:08:47Z	44000	15055000	1111	2900	auto
7	2026-07-18T22:08:49Z	45000	18019000	2056	2900	auto
8	2026-07-18T22:08:50Z	46000	20008000	2592	2900	auto
9	2026-07-18T22:08:51Z	45000	19086000	2788	2900	auto
10	2026-07-18T22:08:52Z	46000	19054000	2859	2900	auto
11	2026-07-18T22:08:53Z	46000	19054000	2885	2900	auto
12	2026-07-18T22:08:54Z	46000	19046000	2895	2900	auto
13	2026-07-18T22:08:55Z	46000	19054000	2898	2900	auto
14	2026-07-18T22:08:56Z	46000	19047000	2899	2900	auto
15	2026-07-18T22:08:57Z	46000	19067000	2900	2900	auto
16	2026-07-18T22:08:58Z	46000	20048000	2900	2900	auto
17	2026-07-18T22:08:59Z	46000	20016000	2899	2900	auto
18	2026-07-18T22:09:00Z	46000	19078000	2899	2900	auto
19	2026-07-18T22:09:01Z	47000	19065000	2900	2900	auto
20	2026-07-18T22:09:02Z	47000	20052000	2894	2900	auto
21	2026-07-18T22:09:03Z	47000	20013000	2898	2900	auto
22	2026-07-18T22:09:04Z	47000	20025000	2899	2900	auto
23	2026-07-18T22:09:05Z	47000	20005000	2900	2900	auto
24	2026-07-18T22:09:06Z	47000	19099000	2900	2900	auto
25	2026-07-18T22:09:07Z	47000	19099000	2900	2900	auto
26	2026-07-18T22:09:08Z	47000	19085000	2900	2900	auto
27	2026-07-18T22:09:09Z	47000	19087000	2900	2900	auto
28	2026-07-18T22:09:10Z	47000	19080000	2900	2900	auto
29	2026-07-18T22:09:11Z	47000	19084000	2900	2900	auto
30	2026-07-18T22:09:12Z	47000	19083000	2900	2900	auto
31	2026-07-18T22:09:13Z	47000	19085000	2900	2900	auto
32	2026-07-18T22:09:14Z	48000	19086000	2900	2900	auto
33	2026-07-18T22:09:15Z	48000	19083000	2900	2900	auto
34	2026-07-18T22:09:16Z	48000	19084000	2900	2900	auto
35	2026-07-18T22:09:17Z	48000	19099000	2900	2900	auto
36	2026-07-18T22:09:18Z	48000	19082000	2900	2900	auto
37	2026-07-18T22:09:19Z	48000	19063000	2900	2900	auto
38	2026-07-18T22:09:20Z	49000	19085000	2889	2900	auto
39	2026-07-18T22:09:21Z	48000	20042000	2888	2900	auto
40	2026-07-18T22:09:22Z	48000	19098000	2896	2900	auto
41	2026-07-18T22:09:23Z	70000	40094000	2076	2900	auto
42	2026-07-18T22:09:24Z	80000	104027000	2489	2900	auto
43	2026-07-18T22:09:25Z	82000	127021000	2631	2900	auto
44	2026-07-18T22:09:26Z	83000	135039000	2673	2900	auto
45	2026-07-18T22:09:27Z	84000	136086000	2634	2900	auto
46	2026-07-18T22:09:28Z	85000	138088000	2671	2900	auto
47	2026-07-18T22:09:29Z	86000	139058000	2685	2900	auto
48	2026-07-18T22:09:30Z	86000	139085000	2682	2900	auto
49	2026-07-18T22:09:31Z	87000	139077000	2673	2900	auto
50	2026-07-18T22:09:32Z	82000	133082000	2636	2900	auto
51	2026-07-18T22:09:33Z	82000	125025000	2594	2900	auto
52	2026-07-18T22:09:34Z	82000	122005000	2561	2900	auto
53	2026-07-18T22:09:35Z	81000	120066000	2561	2900	auto
54	2026-07-18T22:09:36Z	81000	120018000	2568	2900	auto
55	2026-07-18T22:09:37Z	81000	120003000	2573	2900	auto
56	2026-07-18T22:09:38Z	80000	119095000	2557	2900	auto
57	2026-07-18T22:09:39Z	80000	119098000	2568	2900	auto
58	2026-07-18T22:09:40Z	79000	120006000	2576	2900	auto
59	2026-07-18T22:09:41Z	79000	119098000	2577	2900	auto
60	2026-07-18T22:09:42Z	78000	119096000	2562	2900	auto
61	2026-07-18T22:09:43Z	78000	120005000	2574	2900	auto
62	2026-07-18T22:09:44Z	77000	120001000	2580	2900	auto
63	2026-07-18T22:09:45Z	77000	119096000	2579	2900	auto
64	2026-07-18T22:09:46Z	77000	119094000	2569	2900	auto
65	2026-07-18T22:09:47Z	77000	119099000	2581	2900	auto
66	2026-07-18T22:09:48Z	76000	119096000	2584	2900	auto
67	2026-07-18T22:09:49Z	76000	119097000	2583	2900	auto
69	2026-07-18T22:09:51Z	76000	119099000	2576	2900	auto
70	2026-07-18T22:09:52Z	75000	119099000	2581	2900	auto
71	2026-07-18T22:09:53Z	76000	119097000	2589	2900	auto
72	2026-07-18T22:09:54Z	77000	120017000	2582	2900	auto
73	2026-07-18T22:09:55Z	76000	120000000	2583	2900	auto
74	2026-07-18T22:09:56Z	75000	119091000	2589	2900	auto
75	2026-07-18T22:09:57Z	76000	119096000	2594	2900	auto
76	2026-07-18T22:09:58Z	75000	119098000	2574	2900	auto
77	2026-07-18T22:09:59Z	76000	119099000	2584	2900	auto
78	2026-07-18T22:10:00Z	76000	119097000	2593	2900	auto
79	2026-07-18T22:10:01Z	76000	120004000	2593	2900	auto
80	2026-07-18T22:10:02Z	75000	119098000	2577	2900	auto
81	2026-07-18T22:10:03Z	75000	120003000	2585	2900	auto
82	2026-07-18T22:10:04Z	76000	120000000	2593	2900	auto
83	2026-07-18T22:10:05Z	75000	119098000	2593	2900	auto
84	2026-07-18T22:10:06Z	75000	120001000	2573	2900	auto
85	2026-07-18T22:10:07Z	75000	120005000	2585	2900	auto
86	2026-07-18T22:10:08Z	75000	119098000	2594	2900	auto
