# elapsed_s	utc	edge_mC	power_uW	sclk_MHz	od_max_MHz	perf_level
0	2026-07-18T18:51:56Z	38000	13054000	2500	2500	manual
1	2026-07-18T18:51:57Z	38000	17051000	2500	2500	manual
2	2026-07-18T18:51:58Z	38000	19012000	2500	2500	manual
3	2026-07-18T18:51:59Z	38000	19070000	2500	2500	manual
4	2026-07-18T18:52:00Z	39000	20031000	2500	2500	manual
5	2026-07-18T18:52:01Z	39000	20071000	2500	2500	manual
6	2026-07-18T18:52:02Z	39000	20064000	2500	2500	manual
7	2026-07-18T18:52:03Z	39000	20045000	2500	2500	manual
8	2026-07-18T18:52:04Z	39000	20059000	2500	2500	manual
9	2026-07-18T18:52:05Z	39000	20054000	2500	2500	manual
10	2026-07-18T18:52:06Z	39000	20051000	2500	2500	manual
11	2026-07-18T18:52:07Z	39000	20041000	2500	2500	manual
12	2026-07-18T18:52:08Z	39000	20048000	2500	2500	manual
13	2026-07-18T18:52:09Z	39000	20051000	2500	2500	manual
14	2026-07-18T18:52:10Z	38000	20056000	2500	2500	manual
15	2026-07-18T18:52:11Z	39000	20058000	2500	2500	manual
16	2026-07-18T18:52:12Z	39000	20051000	2500	2500	manual
17	2026-07-18T18:52:13Z	38000	20077000	2500	2500	manual
18	2026-07-18T18:52:14Z	39000	20065000	2500	2500	manual
19	2026-07-18T18:52:15Z	39000	20057000	2500	2500	manual
20	2026-07-18T18:52:16Z	39000	20081000	2500	2500	manual
21	2026-07-18T18:52:17Z	39000	20062000	2500	2500	manual
22	2026-07-18T18:52:18Z	38000	20055000	2500	2500	manual
23	2026-07-18T18:52:19Z	39000	20047000	2500	2500	manual
24	2026-07-18T18:52:20Z	39000	20057000	2500	2500	manual
25	2026-07-18T18:52:21Z	39000	20044000	2500	2500	manual
26	2026-07-18T18:52:22Z	39000	20048000	2500	2500	manual
27	2026-07-18T18:52:23Z	39000	20050000	2500	2500	manual
28	2026-07-18T18:52:24Z	39000	20046000	2500	2500	manual
29	2026-07-18T18:52:25Z	39000	20055000	2500	2500	manual
30	2026-07-18T18:52:26Z	39000	20058000	2500	2500	manual
31	2026-07-18T18:52:27Z	39000	20050000	2500	2500	manual
32	2026-07-18T18:52:28Z	39000	20052000	2500	2500	manual
33	2026-07-18T18:52:29Z	39000	20049000	2500	2500	manual
34	2026-07-18T18:52:30Z	40000	20051000	2500	2500	manual
35	2026-07-18T18:52:31Z	39000	20049000	2500	2500	manual
36	2026-07-18T18:52:32Z	40000	20049000	2500	2500	manual
37	2026-07-18T18:52:33Z	40000	20055000	2500	2500	manual
38	2026-07-18T18:52:34Z	40000	20065000	2500	2500	manual
39	2026-07-18T18:52:35Z	56000	32047000	2500	2500	manual
40	2026-07-18T18:52:37Z	63000	81083000	2500	2500	manual
42	2026-07-18T18:52:38Z	64000	100002000	2500	2500	manual
43	2026-07-18T18:52:39Z	66000	105091000	2500	2500	manual
44	2026-07-18T18:52:40Z	66000	106046000	2500	2500	manual
45	2026-07-18T18:52:41Z	68000	109015000	2500	2500	manual
46	2026-07-18T18:52:42Z	69000	110001000	2500	2500	manual
47	2026-07-18T18:52:43Z	70000	110097000	2500	2500	manual
48	2026-07-18T18:52:44Z	70000	111025000	2500	2500	manual
49	2026-07-18T18:52:45Z	70000	112011000	2500	2500	manual
50	2026-07-18T18:52:46Z	71000	111069000	2500	2500	manual
51	2026-07-18T18:52:47Z	71000	111074000	2500	2500	manual
52	2026-07-18T18:52:48Z	71000	111044000	2500	2500	manual
53	2026-07-18T18:52:49Z	72000	111056000	2500	2500	manual
54	2026-07-18T18:52:50Z	72000	111056000	2500	2500	manual
55	2026-07-18T18:52:51Z	73000	112005000	2500	2500	manual
56	2026-07-18T18:52:52Z	73000	111078000	2500	2500	manual
57	2026-07-18T18:52:53Z	73000	112031000	2500	2500	manual
58	2026-07-18T18:52:54Z	73000	111090000	2500	2500	manual
59	2026-07-18T18:52:55Z	73000	112011000	2500	2500	manual
60	2026-07-18T18:52:56Z	72000	112002000	2500	2500	manual
61	2026-07-18T18:52:57Z	73000	112066000	2500	2500	manual
62	2026-07-18T18:52:58Z	73000	112020000	2500	2500	manual
63	2026-07-18T18:52:59Z	73000	112048000	2500	2500	manual
64	2026-07-18T18:53:00Z	72000	111096000	2500	2500	manual
65	2026-07-18T18:53:01Z	73000	112062000	2500	2500	manual
66	2026-07-18T18:53:02Z	73000	112032000	2500	2500	manual
67	2026-07-18T18:53:03Z	72000	112048000	2500	2500	manual
68	2026-07-18T18:53:04Z	72000	111098000	2500	2500	manual
69	2026-07-18T18:53:05Z	72000	112093000	2500	2500	manual
70	2026-07-18T18:53:06Z	71000	112016000	2500	2500	manual
71	2026-07-18T18:53:07Z	71000	111091000	2500	2500	manual
72	2026-07-18T18:53:08Z	71000	111075000	2500	2500	manual
73	2026-07-18T18:53:09Z	71000	112050000	2500	2500	manual
74	2026-07-18T18:53:10Z	71000	111095000	2500	2500	manual
75	2026-07-18T18:53:11Z	71000	111052000	2500	2500	manual
