# elapsed_s	utc	edge_mC	power_uW	sclk_MHz	od_max_MHz	perf_level
0	2026-07-18T18:57:40Z	39000	16006000	2390	2200	manual
2	2026-07-18T18:57:42Z	39000	19008000	2225	2200	manual
4	2026-07-18T18:57:44Z	39000	18047000	2203	2200	manual
6	2026-07-18T18:57:46Z	39000	16093000	2200	2200	manual
8	2026-07-18T18:57:48Z	39000	16087000	2200	2200	manual
10	2026-07-18T18:57:50Z	39000	16077000	2200	2200	manual
12	2026-07-18T18:57:52Z	40000	17000000	2200	2200	manual
14	2026-07-18T18:57:54Z	40000	17006000	2200	2200	manual
16	2026-07-18T18:57:56Z	40000	17006000	2200	2200	manual
18	2026-07-18T18:57:58Z	40000	17005000	2200	2200	manual
20	2026-07-18T18:58:00Z	40000	16097000	2200	2200	manual
22	2026-07-18T18:58:02Z	41000	16095000	2200	2200	manual
24	2026-07-18T18:58:04Z	41000	18078000	2200	2200	manual
26	2026-07-18T18:58:06Z	42000	20083000	2200	2200	manual
28	2026-07-18T18:58:08Z	42000	21016000	2200	2200	manual
30	2026-07-18T18:58:10Z	42000	21024000	2200	2200	manual
32	2026-07-18T18:58:12Z	42000	21022000	2200	2200	manual
34	2026-07-18T18:58:14Z	42000	21017000	2200	2200	manual
36	2026-07-18T18:58:16Z	42000	21024000	2200	2200	manual
38	2026-07-18T18:58:18Z	43000	21022000	2200	2200	manual
40	2026-07-18T18:58:20Z	43000	21018000	2200	2200	manual
42	2026-07-18T18:58:22Z	43000	21030000	2200	2200	manual
44	2026-07-18T18:58:24Z	43000	21022000	2200	2200	manual
46	2026-07-18T18:58:26Z	43000	21038000	2200	2200	manual
48	2026-07-18T18:58:28Z	43000	21028000	2200	2200	manual
50	2026-07-18T18:58:30Z	44000	21018000	2200	2200	manual
52	2026-07-18T18:58:32Z	44000	21031000	2200	2200	manual
54	2026-07-18T18:58:34Z	63000	51001000	2200	2200	manual
56	2026-07-18T18:58:36Z	64000	76071000	2200	2200	manual
58	2026-07-18T18:58:38Z	65000	79007000	2200	2200	manual
60	2026-07-18T18:58:40Z	67000	81030000	2200	2200	manual
62	2026-07-18T18:58:42Z	67000	81032000	2200	2200	manual
64	2026-07-18T18:58:44Z	68000	81078000	2200	2200	manual
66	2026-07-18T18:58:46Z	69000	82021000	2200	2200	manual
68	2026-07-18T18:58:48Z	70000	85086000	2200	2200	manual
70	2026-07-18T18:58:50Z	68000	81087000	2200	2200	manual
72	2026-07-18T18:58:52Z	69000	81026000	2200	2200	manual
74	2026-07-18T18:58:54Z	70000	81088000	2200	2200	manual
76	2026-07-18T18:58:56Z	68000	81039000	2200	2200	manual
78	2026-07-18T18:58:58Z	69000	82002000	2200	2200	manual
80	2026-07-18T18:59:00Z	68000	81086000	2200	2200	manual
82	2026-07-18T18:59:02Z	68000	82024000	2200	2200	manual
84	2026-07-18T18:59:04Z	67000	81020000	2200	2200	manual
86	2026-07-18T18:59:06Z	68000	81074000	2200	2200	manual
88	2026-07-18T18:59:08Z	67000	81048000	2200	2200	manual
90	2026-07-18T18:59:10Z	67000	81042000	2200	2200	manual
92	2026-07-18T18:59:12Z	67000	81041000	2200	2200	manual
95	2026-07-18T18:59:15Z	67000	80075000	2200	2200	manual
97	2026-07-18T18:59:17Z	66000	80087000	2200	2200	manual
99	2026-07-18T18:59:19Z	67000	81066000	2200	2200	manual
101	2026-07-18T18:59:21Z	66000	81092000	2200	2200	manual
103	2026-07-18T18:59:23Z	67000	81009000	2200	2200	manual
105	2026-07-18T18:59:25Z	67000	81045000	2200	2200	manual
107	2026-07-18T18:59:27Z	66000	80062000	2200	2200	manual
109	2026-07-18T18:59:29Z	65000	80069000	2200	2200	manual
111	2026-07-18T18:59:31Z	66000	82051000	2200	2200	manual
113	2026-07-18T18:59:33Z	65000	81070000	2200	2200	manual
115	2026-07-18T18:59:35Z	66000	81028000	2200	2200	manual
117	2026-07-18T18:59:37Z	65000	80077000	2200	2200	manual
