# elapsed_s	utc	edge_mC	power_uW	sclk_MHz	od_max_MHz	perf_level
0	2026-07-19T01:00:50Z	43000	14033000	600	2900	auto
2	2026-07-19T01:00:52Z	43000	19046000	757	2900	auto
4	2026-07-19T01:00:54Z	43000	19004000	776	2900	auto
6	2026-07-19T01:00:56Z	44000	18075000	2113	2900	auto
8	2026-07-19T01:00:58Z	44000	19007000	2402	2900	auto
10	2026-07-19T01:01:00Z	44000	19006000	2413	2900	auto
12	2026-07-19T01:01:02Z	44000	19006000	2511	2900	auto
14	2026-07-19T01:01:04Z	44000	18094000	2485	2900	auto
16	2026-07-19T01:01:06Z	44000	18092000	2466	2900	auto
18	2026-07-19T01:01:08Z	44000	18095000	2452	2900	auto
20	2026-07-19T01:01:10Z	45000	19006000	2492	2900	auto
22	2026-07-19T01:01:12Z	45000	18094000	2490	2900	auto
24	2026-07-19T01:01:14Z	46000	20098000	2633	2900	auto
26	2026-07-19T01:01:16Z	47000	24004000	2858	2900	auto
28	2026-07-19T01:01:18Z	46000	24029000	2888	2900	auto
30	2026-07-19T01:01:20Z	47000	24015000	2887	2900	auto
32	2026-07-19T01:01:22Z	47000	23089000	2898	2900	auto
34	2026-07-19T01:01:24Z	47000	23047000	2851	2900	auto
36	2026-07-19T01:01:26Z	47000	23065000	2893	2900	auto
38	2026-07-19T01:01:28Z	47000	23028000	2899	2900	auto
40	2026-07-19T01:01:30Z	47000	22061000	2900	2900	auto
42	2026-07-19T01:01:32Z	48000	23037000	2898	2900	auto
44	2026-07-19T01:01:34Z	48000	23014000	2900	2900	auto
46	2026-07-19T01:01:36Z	48000	23041000	2900	2900	auto
48	2026-07-19T01:01:38Z	48000	23051000	2900	2900	auto
50	2026-07-19T01:01:40Z	49000	23049000	2900	2900	auto
52	2026-07-19T01:01:42Z	49000	23040000	2900	2900	auto
54	2026-07-19T01:01:44Z	81000	53037000	1792	2900	auto
56	2026-07-19T01:01:46Z	88000	128038000	2596	2900	auto
58	2026-07-19T01:01:48Z	89000	137002000	2672	2900	auto
60	2026-07-19T01:01:50Z	92000	139060000	2699	2900	auto
62	2026-07-19T01:01:52Z	93000	139082000	2691	2900	auto
64	2026-07-19T01:01:54Z	87000	124078000	2604	2900	auto
66	2026-07-19T01:01:56Z	85000	120062000	2573	2900	auto
68	2026-07-19T01:01:58Z	85000	120008000	2584	2900	auto
70	2026-07-19T01:02:00Z	84000	119098000	2579	2900	auto
72	2026-07-19T01:02:02Z	81000	119099000	2592	2900	auto
74	2026-07-19T01:02:04Z	80000	120005000	2588	2900	auto
76	2026-07-19T01:02:06Z	80000	120001000	2599	2900	auto
78	2026-07-19T01:02:08Z	79000	120000000	2588	2900	auto
80	2026-07-19T01:02:10Z	82000	120006000	2595	2900	auto
82	2026-07-19T01:02:12Z	78000	119095000	2602	2900	auto
84	2026-07-19T01:02:14Z	78000	120002000	2587	2900	auto
86	2026-07-19T01:02:16Z	78000	119098000	2613	2900	auto
88	2026-07-19T01:02:18Z	77000	119097000	2597	2900	auto
90	2026-07-19T01:02:21Z	77000	120001000	2615	2900	auto
93	2026-07-19T01:02:23Z	76000	119092000	2600	2900	auto
95	2026-07-19T01:02:25Z	77000	120001000	2614	2900	auto
97	2026-07-19T01:02:27Z	77000	120003000	2601	2900	auto
99	2026-07-19T01:02:29Z	77000	119099000	2612	2900	auto
101	2026-07-19T01:02:31Z	77000	119095000	2602	2900	auto
103	2026-07-19T01:02:33Z	77000	119099000	2615	2900	auto
105	2026-07-19T01:02:35Z	77000	119097000	2607	2900	auto
107	2026-07-19T01:02:37Z	77000	119098000	2617	2900	auto
109	2026-07-19T01:02:39Z	77000	119099000	2609	2900	auto
111	2026-07-19T01:02:41Z	76000	119099000	2613	2900	auto
113	2026-07-19T01:02:43Z	76000	119087000	2607	2900	auto
115	2026-07-19T01:02:45Z	77000	120007000	2598	2900	auto
117	2026-07-19T01:02:47Z	77000	119090000	2615	2900	auto
119	2026-07-19T01:02:49Z	77000	119095000	2601	2900	auto
121	2026-07-19T01:02:51Z	77000	120004000	2618	2900	auto
123	2026-07-19T01:02:53Z	76000	119099000	2599	2900	auto
125	2026-07-19T01:02:55Z	77000	120004000	2616	2900	auto
127	2026-07-19T01:02:57Z	77000	119095000	2600	2900	auto
129	2026-07-19T01:02:59Z	77000	120000000	2617	2900	auto
131	2026-07-19T01:03:01Z	76000	119096000	2604	2900	auto
133	2026-07-19T01:03:03Z	77000	119098000	2615	2900	auto
135	2026-07-19T01:03:05Z	77000	120006000	2610	2900	auto
137	2026-07-19T01:03:07Z	77000	120001000	2617	2900	auto
139	2026-07-19T01:03:09Z	76000	119099000	2604	2900	auto
141	2026-07-19T01:03:11Z	77000	119099000	2614	2900	auto
143	2026-07-19T01:03:13Z	77000	119099000	2606	2900	auto
145	2026-07-19T01:03:15Z	76000	120000000	2613	2900	auto
147	2026-07-19T01:03:17Z	77000	119099000	2605	2900	auto
149	2026-07-19T01:03:19Z	77000	120022000	2602	2900	auto
151	2026-07-19T01:03:21Z	77000	119090000	2611	2900	auto
153	2026-07-19T01:03:23Z	77000	119096000	2597	2900	auto
155	2026-07-19T01:03:25Z	77000	120001000	2616	2900	auto
157	2026-07-19T01:03:27Z	76000	119096000	2597	2900	auto
159	2026-07-19T01:03:29Z	77000	120008000	2616	2900	auto
161	2026-07-19T01:03:31Z	78000	120008000	2602	2900	auto
163	2026-07-19T01:03:33Z	77000	120005000	2615	2900	auto
165	2026-07-19T01:03:35Z	77000	120001000	2603	2900	auto
167	2026-07-19T01:03:37Z	77000	119099000	2613	2900	auto
169	2026-07-19T01:03:39Z	77000	120000000	2606	2900	auto
171	2026-07-19T01:03:41Z	78000	119099000	2617	2900	auto
173	2026-07-19T01:03:43Z	77000	120003000	2604	2900	auto
175	2026-07-19T01:03:45Z	77000	120003000	2615	2900	auto
177	2026-07-19T01:03:47Z	77000	119099000	2605	2900	auto
179	2026-07-19T01:03:49Z	76000	120000000	2610	2900	auto
181	2026-07-19T01:03:51Z	76000	119090000	2604	2900	auto
183	2026-07-19T01:03:53Z	77000	120015000	2598	2900	auto
185	2026-07-19T01:03:55Z	77000	119092000	2612	2900	auto
187	2026-07-19T01:03:57Z	78000	119098000	2595	2900	auto
189	2026-07-19T01:04:00Z	77000	120000000	2615	2900	auto
192	2026-07-19T01:04:02Z	76000	119098000	2593	2900	auto
