# elapsed_s	utc	edge_mC	power_uW	sclk_MHz	od_max_MHz	perf_level
0	2026-07-18T22:19:45Z	40000	14098000	1225	2900	auto
1	2026-07-18T22:19:46Z	40000	18010000	953	2900	auto
2	2026-07-18T22:19:47Z	41000	19048000	863	2900	auto
3	2026-07-18T22:19:48Z	40000	19097000	822	2900	auto
4	2026-07-18T22:19:49Z	40000	18070000	785	2900	auto
5	2026-07-18T22:19:50Z	41000	18006000	1524	2900	auto
6	2026-07-18T22:19:51Z	40000	18061000	2109	2900	auto
7	2026-07-18T22:19:52Z	41000	18096000	2374	2900	auto
8	2026-07-18T22:19:53Z	40000	18076000	2411	2900	auto
9	2026-07-18T22:19:54Z	41000	18066000	2416	2900	auto
10	2026-07-18T22:19:55Z	41000	18068000	2450	2900	auto
11	2026-07-18T22:19:56Z	40000	18075000	2448	2900	auto
12	2026-07-18T22:19:57Z	40000	18075000	2481	2900	auto
13	2026-07-18T22:19:58Z	40000	18085000	2494	2900	auto
14	2026-07-18T22:19:59Z	40000	18077000	2517	2900	auto
16	2026-07-18T22:20:01Z	40000	18085000	2512	2900	auto
17	2026-07-18T22:20:02Z	40000	18079000	2471	2900	auto
18	2026-07-18T22:20:03Z	40000	18097000	2479	2900	auto
19	2026-07-18T22:20:04Z	40000	18071000	2479	2900	auto
20	2026-07-18T22:20:05Z	40000	18074000	2479	2900	auto
21	2026-07-18T22:20:06Z	40000	18082000	2504	2900	auto
22	2026-07-18T22:20:07Z	40000	18066000	2494	2900	auto
23	2026-07-18T22:20:08Z	40000	18067000	2493	2900	auto
24	2026-07-18T22:20:09Z	40000	19061000	2545	2900	auto
25	2026-07-18T22:20:10Z	41000	21019000	2665	2900	auto
26	2026-07-18T22:20:11Z	41000	23010000	2812	2900	auto
27	2026-07-18T22:20:12Z	41000	23014000	2866	2900	auto
28	2026-07-18T22:20:13Z	41000	23067000	2880	2900	auto
29	2026-07-18T22:20:14Z	41000	23048000	2890	2900	auto
30	2026-07-18T22:20:15Z	41000	23036000	2896	2900	auto
31	2026-07-18T22:20:16Z	41000	23037000	2897	2900	auto
32	2026-07-18T22:20:17Z	42000	24003000	2899	2900	auto
33	2026-07-18T22:20:18Z	41000	23026000	2899	2900	auto
34	2026-07-18T22:20:19Z	41000	22082000	2899	2900	auto
35	2026-07-18T22:20:20Z	41000	23020000	2870	2900	auto
36	2026-07-18T22:20:21Z	41000	22097000	2889	2900	auto
37	2026-07-18T22:20:22Z	42000	22083000	2896	2900	auto
38	2026-07-18T22:20:23Z	41000	22071000	2897	2900	auto
39	2026-07-18T22:20:24Z	41000	22078000	2899	2900	auto
40	2026-07-18T22:20:25Z	41000	22063000	2899	2900	auto
41	2026-07-18T22:20:26Z	41000	22060000	2900	2900	auto
42	2026-07-18T22:20:27Z	42000	22070000	2900	2900	auto
43	2026-07-18T22:20:28Z	41000	22070000	2900	2900	auto
44	2026-07-18T22:20:29Z	41000	23011000	2895	2900	auto
45	2026-07-18T22:20:30Z	41000	22097000	2894	2900	auto
46	2026-07-18T22:20:31Z	41000	23061000	2894	2900	auto
47	2026-07-18T22:20:32Z	42000	23064000	2895	2900	auto
48	2026-07-18T22:20:33Z	42000	23027000	2894	2900	auto
49	2026-07-18T22:20:34Z	41000	23038000	2893	2900	auto
50	2026-07-18T22:20:35Z	41000	23053000	2893	2900	auto
51	2026-07-18T22:20:36Z	41000	23030000	2894	2900	auto
52	2026-07-18T22:20:37Z	41000	23023000	2894	2900	auto
53	2026-07-18T22:20:38Z	42000	23030000	2893	2900	auto
54	2026-07-18T22:20:39Z	43000	20002000	1494	2900	auto
