# elapsed_s	utc	edge_mC	power_uW	sclk_MHz	od_max_MHz	perf_level
0	2026-07-18T18:46:28Z	38000	13014000	2200	2200	manual
1	2026-07-18T18:46:29Z	38000	17002000	2200	2200	manual
2	2026-07-18T18:46:30Z	39000	18062000	2200	2200	manual
3	2026-07-18T18:46:31Z	39000	19019000	2200	2200	manual
4	2026-07-18T18:46:32Z	39000	18044000	2200	2200	manual
5	2026-07-18T18:46:33Z	39000	17039000	2200	2200	manual
6	2026-07-18T18:46:34Z	39000	17037000	2200	2200	manual
7	2026-07-18T18:46:35Z	39000	17050000	2200	2200	manual
8	2026-07-18T18:46:36Z	39000	17039000	2200	2200	manual
9	2026-07-18T18:46:37Z	39000	17013000	2200	2200	manual
10	2026-07-18T18:46:38Z	39000	17041000	2200	2200	manual
11	2026-07-18T18:46:39Z	39000	17044000	2200	2200	manual
12	2026-07-18T18:46:40Z	39000	17059000	2200	2200	manual
13	2026-07-18T18:46:41Z	40000	17055000	2200	2200	manual
14	2026-07-18T18:46:42Z	39000	17019000	2200	2200	manual
15	2026-07-18T18:46:43Z	40000	17030000	2200	2200	manual
16	2026-07-18T18:46:44Z	40000	17020000	2200	2200	manual
17	2026-07-18T18:46:45Z	40000	19049000	2200	2200	manual
18	2026-07-18T18:46:46Z	40000	20043000	2200	2200	manual
19	2026-07-18T18:46:47Z	41000	20070000	2200	2200	manual
20	2026-07-18T18:46:48Z	41000	20083000	2200	2200	manual
21	2026-07-18T18:46:49Z	40000	20095000	2200	2200	manual
22	2026-07-18T18:46:50Z	41000	20091000	2200	2200	manual
23	2026-07-18T18:46:51Z	41000	20092000	2200	2200	manual
24	2026-07-18T18:46:52Z	41000	21026000	2200	2200	manual
25	2026-07-18T18:46:53Z	41000	21009000	2200	2200	manual
26	2026-07-18T18:46:54Z	42000	21001000	2200	2200	manual
27	2026-07-18T18:46:55Z	42000	21006000	2200	2200	manual
28	2026-07-18T18:46:56Z	42000	21006000	2200	2200	manual
29	2026-07-18T18:46:57Z	42000	21011000	2200	2200	manual
30	2026-07-18T18:46:58Z	41000	21018000	2200	2200	manual
31	2026-07-18T18:46:59Z	42000	21017000	2200	2200	manual
32	2026-07-18T18:47:00Z	42000	21010000	2200	2200	manual
34	2026-07-18T18:47:02Z	42000	21017000	2200	2200	manual
35	2026-07-18T18:47:03Z	42000	21016000	2200	2200	manual
36	2026-07-18T18:47:04Z	42000	21000000	2200	2200	manual
37	2026-07-18T18:47:05Z	43000	21010000	2200	2200	manual
38	2026-07-18T18:47:06Z	43000	21011000	2200	2200	manual
39	2026-07-18T18:47:07Z	43000	21021000	2200	2200	manual
40	2026-07-18T18:47:08Z	42000	20097000	2200	2200	manual
41	2026-07-18T18:47:09Z	43000	21007000	2200	2200	manual
42	2026-07-18T18:47:10Z	43000	21007000	2200	2200	manual
43	2026-07-18T18:47:11Z	43000	21009000	2200	2200	manual
44	2026-07-18T18:47:12Z	43000	21018000	2200	2200	manual
45	2026-07-18T18:47:13Z	43000	21014000	2200	2200	manual
46	2026-07-18T18:47:14Z	43000	20095000	2200	2200	manual
47	2026-07-18T18:47:15Z	44000	21006000	2200	2200	manual
48	2026-07-18T18:47:16Z	43000	21012000	2200	2200	manual
49	2026-07-18T18:47:17Z	44000	18048000	2200	2200	manual
50	2026-07-18T18:47:18Z	64000	62018000	2200	2200	manual
51	2026-07-18T18:47:19Z	64000	74096000	2200	2200	manual
52	2026-07-18T18:47:20Z	65000	79044000	2200	2200	manual
53	2026-07-18T18:47:21Z	65000	83065000	2200	2200	manual
54	2026-07-18T18:47:22Z	67000	82070000	2200	2200	manual
55	2026-07-18T18:47:23Z	66000	82005000	2200	2200	manual
56	2026-07-18T18:47:24Z	66000	81010000	2200	2200	manual
57	2026-07-18T18:47:25Z	68000	81025000	2200	2200	manual
58	2026-07-18T18:47:26Z	68000	81025000	2200	2200	manual
59	2026-07-18T18:47:27Z	68000	81059000	2200	2200	manual
60	2026-07-18T18:47:28Z	68000	81083000	2200	2200	manual
61	2026-07-18T18:47:29Z	68000	82057000	2200	2200	manual
62	2026-07-18T18:47:30Z	69000	82008000	2200	2200	manual
63	2026-07-18T18:47:31Z	69000	81068000	2200	2200	manual
64	2026-07-18T18:47:32Z	69000	83043000	2200	2200	manual
65	2026-07-18T18:47:33Z	70000	82017000	2200	2200	manual
66	2026-07-18T18:47:34Z	68000	81098000	2200	2200	manual
67	2026-07-18T18:47:35Z	69000	81042000	2200	2200	manual
68	2026-07-18T18:47:36Z	69000	81007000	2200	2200	manual
69	2026-07-18T18:47:37Z	68000	81017000	2200	2200	manual
70	2026-07-18T18:47:38Z	69000	81003000	2200	2200	manual
71	2026-07-18T18:47:39Z	67000	80090000	2200	2200	manual
72	2026-07-18T18:47:40Z	68000	81012000	2200	2200	manual
73	2026-07-18T18:47:41Z	68000	81034000	2200	2200	manual
74	2026-07-18T18:47:42Z	69000	81024000	2200	2200	manual
75	2026-07-18T18:47:43Z	68000	81060000	2200	2200	manual
76	2026-07-18T18:47:44Z	68000	81039000	2200	2200	manual
77	2026-07-18T18:47:45Z	68000	82008000	2200	2200	manual
78	2026-07-18T18:47:46Z	68000	81068000	2200	2200	manual
79	2026-07-18T18:47:47Z	68000	81079000	2200	2200	manual
80	2026-07-18T18:47:48Z	68000	81004000	2200	2200	manual
81	2026-07-18T18:47:49Z	67000	80082000	2200	2200	manual
82	2026-07-18T18:47:50Z	68000	81002000	2200	2200	manual
83	2026-07-18T18:47:51Z	67000	80092000	2200	2200	manual
84	2026-07-18T18:47:52Z	68000	80073000	2200	2200	manual
85	2026-07-18T18:47:53Z	68000	81000000	2200	2200	manual
86	2026-07-18T18:47:54Z	67000	81004000	2200	2200	manual
87	2026-07-18T18:47:55Z	67000	81004000	2200	2200	manual
88	2026-07-18T18:47:56Z	67000	80094000	2200	2200	manual
89	2026-07-18T18:47:57Z	67000	80096000	2200	2200	manual
90	2026-07-18T18:47:58Z	67000	81097000	2200	2200	manual
91	2026-07-18T18:47:59Z	67000	81023000	2200	2200	manual
92	2026-07-18T18:48:00Z	67000	81064000	2200	2200	manual
93	2026-07-18T18:48:01Z	68000	80092000	2200	2200	manual
94	2026-07-18T18:48:02Z	67000	81005000	2200	2200	manual
95	2026-07-18T18:48:04Z	66000	80068000	2200	2200	manual
97	2026-07-18T18:48:05Z	66000	80067000	2200	2200	manual
98	2026-07-18T18:48:06Z	59000	66089000	2200	2200	manual
99	2026-07-18T18:48:07Z	61000	67013000	2200	2200	manual
100	2026-07-18T18:48:08Z	60000	66081000	2200	2200	manual
101	2026-07-18T18:48:09Z	60000	67050000	2200	2200	manual
102	2026-07-18T18:48:10Z	60000	67042000	2200	2200	manual
103	2026-07-18T18:48:11Z	59000	67028000	2200	2200	manual
104	2026-07-18T18:48:12Z	60000	67088000	2200	2200	manual
105	2026-07-18T18:48:13Z	61000	70068000	2200	2200	manual
106	2026-07-18T18:48:14Z	61000	70031000	2200	2200	manual
107	2026-07-18T18:48:15Z	60000	68066000	2200	2200	manual
108	2026-07-18T18:48:16Z	59000	70036000	2200	2200	manual
109	2026-07-18T18:48:17Z	60000	68092000	2200	2200	manual
110	2026-07-18T18:48:18Z	59000	68005000	2200	2200	manual
111	2026-07-18T18:48:19Z	59000	70017000	2200	2200	manual
112	2026-07-18T18:48:20Z	59000	69009000	2200	2200	manual
113	2026-07-18T18:48:21Z	58000	67080000	2200	2200	manual
114	2026-07-18T18:48:22Z	59000	67010000	2200	2200	manual
115	2026-07-18T18:48:23Z	58000	67062000	2200	2200	manual
116	2026-07-18T18:48:24Z	58000	68015000	2200	2200	manual
117	2026-07-18T18:48:25Z	59000	68018000	2200	2200	manual
118	2026-07-18T18:48:26Z	59000	67076000	2200	2200	manual
119	2026-07-18T18:48:27Z	58000	67068000	2200	2200	manual
120	2026-07-18T18:48:28Z	61000	68060000	2200	2200	manual
121	2026-07-18T18:48:29Z	59000	69063000	2200	2200	manual
122	2026-07-18T18:48:30Z	60000	72066000	2200	2200	manual
123	2026-07-18T18:48:31Z	58000	71082000	2200	2200	manual
124	2026-07-18T18:48:32Z	59000	71057000	2200	2200	manual
125	2026-07-18T18:48:33Z	59000	69036000	2200	2200	manual
126	2026-07-18T18:48:34Z	59000	70008000	2200	2200	manual
127	2026-07-18T18:48:35Z	58000	68070000	2200	2200	manual
128	2026-07-18T18:48:36Z	58000	68085000	2200	2200	manual
129	2026-07-18T18:48:37Z	57000	67068000	2200	2200	manual
130	2026-07-18T18:48:38Z	59000	68032000	2200	2200	manual
131	2026-07-18T18:48:39Z	58000	68019000	2200	2200	manual
132	2026-07-18T18:48:40Z	59000	67088000	2200	2200	manual
133	2026-07-18T18:48:41Z	59000	69095000	2200	2200	manual
134	2026-07-18T18:48:42Z	59000	68078000	2200	2200	manual
135	2026-07-18T18:48:43Z	60000	69077000	2200	2200	manual
136	2026-07-18T18:48:44Z	58000	69095000	2200	2200	manual
137	2026-07-18T18:48:45Z	58000	69021000	2200	2200	manual
138	2026-07-18T18:48:46Z	59000	70051000	2200	2200	manual
139	2026-07-18T18:48:47Z	60000	72040000	2200	2200	manual
140	2026-07-18T18:48:48Z	59000	71023000	2200	2200	manual
