# elapsed_s	utc	edge_mC	power_uW	sclk_MHz	od_max_MHz	perf_level
0	2026-07-18T19:29:17Z	39000	16045000	2400	2400	manual
2	2026-07-18T19:29:19Z	40000	19026000	2400	2400	manual
4	2026-07-18T19:29:21Z	40000	20005000	2400	2400	manual
6	2026-07-18T19:29:23Z	41000	20091000	2400	2400	manual
8	2026-07-18T19:29:25Z	40000	21031000	2400	2400	manual
10	2026-07-18T19:29:27Z	41000	21035000	2400	2400	manual
12	2026-07-18T19:29:29Z	41000	21044000	2400	2400	manual
14	2026-07-18T19:29:31Z	41000	21051000	2400	2400	manual
16	2026-07-18T19:29:33Z	41000	21042000	2400	2400	manual
18	2026-07-18T19:29:35Z	41000	21051000	2400	2400	manual
20	2026-07-18T19:29:37Z	42000	21038000	2400	2400	manual
22	2026-07-18T19:29:39Z	42000	21053000	2400	2400	manual
24	2026-07-18T19:29:41Z	42000	21053000	2400	2400	manual
26	2026-07-18T19:29:43Z	42000	21038000	2400	2400	manual
28	2026-07-18T19:29:45Z	43000	21037000	2400	2400	manual
30	2026-07-18T19:29:47Z	43000	21032000	2400	2400	manual
32	2026-07-18T19:29:49Z	43000	21041000	2400	2400	manual
34	2026-07-18T19:29:51Z	43000	21046000	2400	2400	manual
36	2026-07-18T19:29:53Z	44000	21025000	2400	2400	manual
38	2026-07-18T19:29:55Z	59000	52054000	2400	2400	manual
40	2026-07-18T19:29:57Z	62000	90014000	2400	2400	manual
42	2026-07-18T19:29:59Z	63000	93097000	2400	2400	manual
44	2026-07-18T19:30:01Z	65000	96099000	2400	2400	manual
46	2026-07-18T19:30:03Z	65000	96092000	2400	2400	manual
48	2026-07-18T19:30:05Z	66000	96076000	2400	2400	manual
50	2026-07-18T19:30:07Z	67000	97029000	2400	2400	manual
52	2026-07-18T19:30:09Z	68000	97020000	2400	2400	manual
54	2026-07-18T19:30:11Z	67000	96063000	2400	2400	manual
56	2026-07-18T19:30:13Z	68000	96097000	2400	2400	manual
58	2026-07-18T19:30:15Z	67000	96039000	2400	2400	manual
60	2026-07-18T19:30:18Z	67000	96046000	2400	2400	manual
63	2026-07-18T19:30:20Z	66000	96046000	2400	2400	manual
65	2026-07-18T19:30:22Z	67000	96070000	2400	2400	manual
67	2026-07-18T19:30:24Z	67000	96065000	2400	2400	manual
69	2026-07-18T19:30:26Z	66000	96094000	2400	2400	manual
71	2026-07-18T19:30:28Z	67000	99088000	2400	2400	manual
73	2026-07-18T19:30:30Z	66000	97021000	2400	2400	manual
75	2026-07-18T19:30:32Z	66000	96004000	2400	2400	manual
77	2026-07-18T19:30:34Z	66000	96063000	2400	2400	manual
79	2026-07-18T19:30:36Z	66000	95089000	2400	2400	manual
81	2026-07-18T19:30:38Z	66000	96083000	2400	2400	manual
83	2026-07-18T19:30:40Z	66000	96032000	2400	2400	manual
