# elapsed_s	utc	edge_mC	power_uW	sclk_MHz	od_max_MHz	perf_level
0	2026-07-18T22:28:37Z	41000	14077000	600	2900	auto
2	2026-07-18T22:28:39Z	41000	19045000	782	2900	auto
4	2026-07-18T22:28:41Z	42000	21040000	1474	2900	auto
6	2026-07-18T22:28:43Z	42000	22081000	2708	2900	auto
8	2026-07-18T22:28:45Z	42000	22069000	2874	2900	auto
10	2026-07-18T22:28:47Z	42000	22061000	2896	2900	auto
12	2026-07-18T22:28:49Z	42000	22065000	2899	2900	auto
14	2026-07-18T22:28:51Z	42000	22055000	2900	2900	auto
16	2026-07-18T22:28:53Z	42000	22060000	2897	2900	auto
18	2026-07-18T22:28:55Z	42000	22059000	2900	2900	auto
20	2026-07-18T22:28:57Z	43000	22053000	2900	2900	auto
22	2026-07-18T22:28:59Z	43000	22039000	2899	2900	auto
24	2026-07-18T22:29:01Z	42000	22062000	2900	2900	auto
26	2026-07-18T22:29:03Z	43000	22072000	2900	2900	auto
28	2026-07-18T22:29:05Z	42000	22083000	2900	2900	auto
30	2026-07-18T22:29:07Z	43000	22050000	2897	2900	auto
32	2026-07-18T22:29:09Z	42000	22068000	2899	2900	auto
34	2026-07-18T22:29:11Z	42000	22048000	2900	2900	auto
36	2026-07-18T22:29:13Z	43000	22032000	2900	2900	auto
38	2026-07-18T22:29:15Z	43000	22069000	2900	2900	auto
40	2026-07-18T22:29:17Z	68000	107088000	2557	2900	auto
42	2026-07-18T22:29:19Z	70000	135059000	2752	2900	auto
44	2026-07-18T22:29:21Z	72000	138088000	2760	2900	auto
46	2026-07-18T22:29:23Z	74000	139042000	2753	2900	auto
48	2026-07-18T22:29:25Z	71000	132092000	2715	2900	auto
50	2026-07-18T22:29:27Z	71000	121087000	2619	2900	auto
52	2026-07-18T22:29:29Z	71000	120024000	2621	2900	auto
54	2026-07-18T22:29:31Z	72000	119093000	2604	2900	auto
56	2026-07-18T22:29:33Z	72000	120001000	2621	2900	auto
58	2026-07-18T22:29:35Z	72000	119093000	2602	2900	auto
60	2026-07-18T22:29:37Z	72000	119099000	2620	2900	auto
62	2026-07-18T22:29:39Z	72000	119094000	2608	2900	auto
64	2026-07-18T22:29:41Z	72000	119096000	2622	2900	auto
66	2026-07-18T22:29:43Z	72000	119095000	2612	2900	auto
68	2026-07-18T22:29:45Z	72000	119098000	2625	2900	auto
70	2026-07-18T22:29:47Z	71000	120001000	2613	2900	auto
72	2026-07-18T22:29:49Z	71000	119099000	2621	2900	auto
74	2026-07-18T22:29:51Z	72000	120005000	2613	2900	auto
76	2026-07-18T22:29:53Z	72000	120017000	2611	2900	auto
78	2026-07-18T22:29:55Z	72000	119090000	2619	2900	auto
80	2026-07-18T22:29:57Z	71000	119097000	2605	2900	auto
82	2026-07-18T22:29:59Z	71000	120001000	2626	2900	auto
84	2026-07-18T22:30:01Z	71000	119098000	2604	2900	auto
86	2026-07-18T22:30:03Z	71000	120001000	2625	2900	auto
88	2026-07-18T22:30:06Z	71000	119098000	2608	2900	auto
91	2026-07-18T22:30:08Z	71000	119098000	2620	2900	auto
93	2026-07-18T22:30:10Z	72000	119099000	2613	2900	auto
95	2026-07-18T22:30:12Z	72000	119095000	2626	2900	auto
97	2026-07-18T22:30:14Z	71000	119096000	2613	2900	auto
99	2026-07-18T22:30:16Z	72000	120001000	2624	2900	auto
101	2026-07-18T22:30:18Z	72000	120005000	2618	2900	auto
103	2026-07-18T22:30:20Z	71000	120001000	2621	2900	auto
105	2026-07-18T22:30:22Z	71000	119099000	2616	2900	auto
107	2026-07-18T22:30:24Z	73000	120019000	2613	2900	auto
109	2026-07-18T22:30:26Z	72000	119091000	2622	2900	auto
111	2026-07-18T22:30:28Z	71000	119093000	2601	2900	auto
113	2026-07-18T22:30:30Z	71000	120003000	2626	2900	auto
115	2026-07-18T22:30:32Z	72000	119096000	2603	2900	auto
117	2026-07-18T22:30:34Z	72000	120010000	2624	2900	auto
119	2026-07-18T22:30:36Z	72000	120008000	2614	2900	auto
121	2026-07-18T22:30:38Z	72000	119097000	2625	2900	auto
123	2026-07-18T22:30:40Z	71000	119094000	2608	2900	auto
125	2026-07-18T22:30:42Z	71000	120001000	2626	2900	auto
127	2026-07-18T22:30:44Z	72000	119095000	2612	2900	auto
129	2026-07-18T22:30:46Z	71000	120005000	2626	2900	auto
131	2026-07-18T22:30:48Z	72000	120003000	2616	2900	auto
133	2026-07-18T22:30:50Z	72000	119099000	2627	2900	auto
135	2026-07-18T22:30:52Z	72000	120006000	2617	2900	auto
137	2026-07-18T22:30:54Z	72000	120003000	2623	2900	auto
139	2026-07-18T22:30:56Z	71000	119098000	2616	2900	auto
141	2026-07-18T22:30:58Z	72000	120026000	2611	2900	auto
