# elapsed_s	utc	edge_mC	power_uW	sclk_MHz	od_max_MHz	perf_level
0	2026-07-18T22:01:18Z	41000	15024000	1223	2900	auto
1	2026-07-18T22:01:19Z	42000	18025000	945	2900	auto
2	2026-07-18T22:01:20Z	41000	19057000	858	2900	auto
3	2026-07-18T22:01:21Z	42000	20006000	831	2900	auto
4	2026-07-18T22:01:22Z	43000	21028000	1353	2900	auto
5	2026-07-18T22:01:23Z	43000	22093000	2338	2900	auto
6	2026-07-18T22:01:24Z	43000	23012000	2674	2900	auto
7	2026-07-18T22:01:25Z	43000	22081000	2818	2900	auto
8	2026-07-18T22:01:26Z	43000	22063000	2870	2900	auto
9	2026-07-18T22:01:27Z	43000	22076000	2889	2900	auto
10	2026-07-18T22:01:28Z	43000	22079000	2896	2900	auto
11	2026-07-18T22:01:29Z	43000	22064000	2898	2900	auto
12	2026-07-18T22:01:30Z	43000	22049000	2899	2900	auto
13	2026-07-18T22:01:31Z	43000	22048000	2900	2900	auto
14	2026-07-18T22:01:32Z	42000	22029000	2900	2900	auto
15	2026-07-18T22:01:33Z	43000	22080000	2900	2900	auto
16	2026-07-18T22:01:34Z	43000	22091000	2900	2900	auto
17	2026-07-18T22:01:35Z	43000	22082000	2900	2900	auto
18	2026-07-18T22:01:36Z	42000	23093000	2900	2900	auto
19	2026-07-18T22:01:37Z	43000	23019000	2894	2900	auto
20	2026-07-18T22:01:38Z	43000	22074000	2898	2900	auto
21	2026-07-18T22:01:39Z	43000	22070000	2899	2900	auto
22	2026-07-18T22:01:40Z	43000	22060000	2900	2900	auto
23	2026-07-18T22:01:41Z	43000	22066000	2900	2900	auto
24	2026-07-18T22:01:42Z	43000	22071000	2900	2900	auto
25	2026-07-18T22:01:43Z	43000	22066000	2900	2900	auto
26	2026-07-18T22:01:44Z	43000	22063000	2900	2900	auto
27	2026-07-18T22:01:45Z	42000	22062000	2900	2900	auto
28	2026-07-18T22:01:46Z	43000	22062000	2900	2900	auto
29	2026-07-18T22:01:47Z	43000	22055000	2900	2900	auto
30	2026-07-18T22:01:48Z	43000	22065000	2900	2900	auto
31	2026-07-18T22:01:49Z	43000	22084000	2900	2900	auto
