# elapsed_s	utc	edge_mC	power_uW	sclk_MHz	od_max_MHz	perf_level
0	2026-07-18T18:49:09Z	42000	12080000	2400	2400	manual
1	2026-07-18T18:49:10Z	42000	17014000	2400	2400	manual
2	2026-07-18T18:49:11Z	43000	18089000	2400	2400	manual
3	2026-07-18T18:49:12Z	42000	19054000	2400	2400	manual
4	2026-07-18T18:49:13Z	43000	19075000	2400	2400	manual
5	2026-07-18T18:49:14Z	43000	20083000	2400	2400	manual
6	2026-07-18T18:49:15Z	43000	21015000	2400	2400	manual
7	2026-07-18T18:49:16Z	43000	21024000	2400	2400	manual
8	2026-07-18T18:49:17Z	43000	21025000	2400	2400	manual
9	2026-07-18T18:49:18Z	43000	21032000	2400	2400	manual
10	2026-07-18T18:49:19Z	43000	21037000	2400	2400	manual
11	2026-07-18T18:49:20Z	43000	21038000	2400	2400	manual
12	2026-07-18T18:49:21Z	43000	21029000	2400	2400	manual
13	2026-07-18T18:49:22Z	42000	21025000	2400	2400	manual
14	2026-07-18T18:49:23Z	43000	21029000	2400	2400	manual
15	2026-07-18T18:49:24Z	43000	21027000	2400	2400	manual
16	2026-07-18T18:49:25Z	42000	21027000	2400	2400	manual
17	2026-07-18T18:49:26Z	43000	21023000	2400	2400	manual
18	2026-07-18T18:49:27Z	42000	21034000	2400	2400	manual
19	2026-07-18T18:49:28Z	43000	21034000	2400	2400	manual
20	2026-07-18T18:49:29Z	42000	21024000	2400	2400	manual
21	2026-07-18T18:49:30Z	42000	21014000	2400	2400	manual
22	2026-07-18T18:49:31Z	43000	21011000	2400	2400	manual
23	2026-07-18T18:49:32Z	43000	21020000	2400	2400	manual
24	2026-07-18T18:49:33Z	43000	21019000	2400	2400	manual
25	2026-07-18T18:49:34Z	43000	21024000	2400	2400	manual
26	2026-07-18T18:49:35Z	42000	21022000	2400	2400	manual
27	2026-07-18T18:49:36Z	43000	21015000	2400	2400	manual
28	2026-07-18T18:49:37Z	43000	22000000	2400	2400	manual
29	2026-07-18T18:49:38Z	42000	21041000	2400	2400	manual
30	2026-07-18T18:49:39Z	42000	21006000	2400	2400	manual
31	2026-07-18T18:49:40Z	43000	21021000	2400	2400	manual
32	2026-07-18T18:49:41Z	42000	21020000	2400	2400	manual
33	2026-07-18T18:49:42Z	42000	21021000	2400	2400	manual
34	2026-07-18T18:49:43Z	43000	21007000	2400	2400	manual
35	2026-07-18T18:49:44Z	42000	21028000	2400	2400	manual
36	2026-07-18T18:49:45Z	43000	21031000	2400	2400	manual
37	2026-07-18T18:49:46Z	42000	21038000	2400	2400	manual
38	2026-07-18T18:49:47Z	42000	21020000	2400	2400	manual
39	2026-07-18T18:49:48Z	58000	52027000	2400	2400	manual
40	2026-07-18T18:49:49Z	59000	79069000	2400	2400	manual
41	2026-07-18T18:49:50Z	60000	89065000	2400	2400	manual
42	2026-07-18T18:49:51Z	60000	92088000	2400	2400	manual
43	2026-07-18T18:49:52Z	61000	92094000	2400	2400	manual
44	2026-07-18T18:49:53Z	62000	94064000	2400	2400	manual
45	2026-07-18T18:49:54Z	62000	95002000	2400	2400	manual
46	2026-07-18T18:49:55Z	62000	95011000	2400	2400	manual
47	2026-07-18T18:49:56Z	63000	95006000	2400	2400	manual
48	2026-07-18T18:49:57Z	63000	95072000	2400	2400	manual
49	2026-07-18T18:49:58Z	64000	95049000	2400	2400	manual
50	2026-07-18T18:49:59Z	63000	95066000	2400	2400	manual
51	2026-07-18T18:50:00Z	65000	95049000	2400	2400	manual
52	2026-07-18T18:50:01Z	64000	95095000	2400	2400	manual
53	2026-07-18T18:50:02Z	65000	96015000	2400	2400	manual
54	2026-07-18T18:50:03Z	65000	96033000	2400	2400	manual
55	2026-07-18T18:50:04Z	66000	96034000	2400	2400	manual
56	2026-07-18T18:50:05Z	66000	96078000	2400	2400	manual
57	2026-07-18T18:50:06Z	67000	96094000	2400	2400	manual
58	2026-07-18T18:50:07Z	66000	97003000	2400	2400	manual
59	2026-07-18T18:50:08Z	66000	96084000	2400	2400	manual
60	2026-07-18T18:50:09Z	66000	96082000	2400	2400	manual
61	2026-07-18T18:50:10Z	65000	96058000	2400	2400	manual
62	2026-07-18T18:50:11Z	66000	96062000	2400	2400	manual
63	2026-07-18T18:50:12Z	67000	96024000	2400	2400	manual
64	2026-07-18T18:50:13Z	66000	96069000	2400	2400	manual
65	2026-07-18T18:50:14Z	66000	96094000	2400	2400	manual
66	2026-07-18T18:50:15Z	66000	96083000	2400	2400	manual
67	2026-07-18T18:50:16Z	66000	96073000	2400	2400	manual
68	2026-07-18T18:50:17Z	66000	96083000	2400	2400	manual
69	2026-07-18T18:50:19Z	66000	96076000	2400	2400	manual
71	2026-07-18T18:50:20Z	66000	97021000	2400	2400	manual
72	2026-07-18T18:50:21Z	66000	96068000	2400	2400	manual
73	2026-07-18T18:50:22Z	66000	97025000	2400	2400	manual
74	2026-07-18T18:50:23Z	66000	96079000	2400	2400	manual
75	2026-07-18T18:50:24Z	66000	96089000	2400	2400	manual
76	2026-07-18T18:50:25Z	67000	96047000	2400	2400	manual
77	2026-07-18T18:50:26Z	66000	96077000	2400	2400	manual
78	2026-07-18T18:50:27Z	66000	96066000	2400	2400	manual
79	2026-07-18T18:50:28Z	66000	96062000	2400	2400	manual
80	2026-07-18T18:50:29Z	66000	96031000	2400	2400	manual
81	2026-07-18T18:50:30Z	67000	96058000	2400	2400	manual
82	2026-07-18T18:50:31Z	66000	96067000	2400	2400	manual
83	2026-07-18T18:50:32Z	66000	96051000	2400	2400	manual
