epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1784934491636,50.000,61.250,33.033,0,2900,1000
1784934492145,51.000,68.375,40.014,0,2900,1000
1784934492652,50.000,70.625,41.034,0,2900,1000
1784934493161,50.000,68.000,42.045,1,2900,1000
1784934493670,52.000,66.750,49.072,15,2900,1000
1784934494178,53.000,65.875,54.001,25,2900,1000
1784934494685,53.000,64.875,55.089,31,2900,1000
1784934495194,53.000,64.125,56.056,34,2900,1000
1784934495702,51.000,64.000,55.053,28,2900,1000
1784934496210,62.000,63.375,80.024,53,2900,1000
1784934496720,62.000,62.875,96.016,70,2900,1000
1784934497232,62.000,62.625,105.068,81,2900,1000
1784934497743,62.000,62.750,111.046,88,2900,1000
1784934498252,63.000,62.750,114.086,91,2900,1000
1784934498762,62.000,62.875,116.088,94,2900,1000
1784934499273,63.000,63.125,118.019,95,2900,1000
1784934499785,63.000,63.375,118.087,96,2900,1000
1784934500296,63.000,63.500,117.079,94,2900,1000
1784934500806,64.000,63.625,118.069,95,2900,1000
1784934501315,63.000,63.875,119.018,96,2900,1000
1784934501826,63.000,64.000,119.051,96,2900,1000
1784934502337,64.000,64.250,119.072,97,2900,1000
1784934502847,65.000,64.500,119.081,97,2900,1000
1784934503359,64.000,64.625,119.090,97,2900,1000
1784934503870,64.000,64.750,119.093,97,2900,1000
1784934504379,65.000,64.875,119.098,97,2900,1000
1784934504888,64.000,64.750,118.081,95,2900,1000
1784934505400,64.000,65.000,119.022,96,2900,1000
1784934505908,64.000,65.125,119.058,97,2900,1000
1784934506417,65.000,65.125,119.066,97,2900,1000
1784934506927,66.000,65.250,119.083,97,2900,1000
1784934507437,65.000,65.250,119.092,97,2900,1000
1784934507948,64.000,65.375,119.090,97,2900,1000
1784934508457,65.000,65.375,119.096,98,2900,1000
1784934508968,65.000,65.500,119.098,98,2900,1000
1784934509479,64.000,65.500,119.097,98,2900,1000
1784934509990,65.000,65.625,120.002,98,2900,1000
1784934510498,64.000,65.500,118.062,95,2900,1000
1784934511011,65.000,65.625,119.020,96,2900,1000
1784934511520,66.000,65.750,119.053,97,2900,1000
1784934512030,66.000,65.875,119.073,97,2900,1000
1784934512539,67.000,66.000,119.082,97,2900,1000
1784934513049,66.000,66.000,119.089,97,2900,1000
1784934513560,66.000,66.125,120.001,97,2900,1000
1784934514071,66.000,66.250,119.093,97,2900,1000
1784934514580,66.000,66.375,120.001,98,2900,1000
1784934515091,66.000,66.375,119.092,98,2900,1000
1784934515600,67.000,66.500,119.097,98,2900,1000
1784934516111,66.000,66.500,118.075,95,2900,1000
1784934516622,67.000,66.625,119.024,96,2900,1000
1784934517131,65.000,66.625,119.053,96,2900,1000
1784934517641,66.000,66.750,119.081,97,2900,1000
1784934518151,67.000,66.750,119.080,97,2900,1000
1784934518661,67.000,66.875,119.090,97,2900,1000
1784934519171,67.000,67.000,119.095,97,2900,1000
1784934519681,67.000,67.000,119.093,97,2900,1000
1784934520192,68.000,67.125,119.098,97,2900,1000
1784934520701,68.000,67.250,119.097,97,2900,1000
1784934521212,67.000,67.125,118.032,94,2900,1000
1784934521729,68.000,67.250,118.060,95,2900,1000
1784934522239,68.000,67.375,119.017,96,2900,1000
1784934522750,67.000,67.500,119.047,96,2900,1000
1784934523262,68.000,67.625,119.076,96,2900,1000
1784934523772,67.000,67.750,119.088,97,2900,1000
1784934524283,67.000,67.750,119.090,97,2900,1000
1784934524796,68.000,67.875,119.095,97,2900,1000
1784934525305,66.000,68.000,119.094,97,2900,1000
1784934525816,68.000,68.000,119.096,97,2900,1000
