epoch_ms,gpu_temp_c,cpu_tctl_c,gpu_ppt_w,gpu_busy_percent,sclk_active_mhz,mclk_active_mhz
1784934852619,51.000,58.375,31.095,0,2900,1000
1784934853127,50.000,67.500,39.085,0,2900,1000
1784934853634,51.000,70.750,43.020,0,2900,1000
1784934854141,51.000,68.125,42.035,1,2900,1000
1784934854650,53.000,66.500,48.012,15,2900,1000
1784934855157,53.000,65.250,52.043,25,2900,1000
1784934855664,53.000,64.375,54.076,31,2900,1000
1784934856171,53.000,63.625,56.032,34,2900,1000
1784934856679,51.000,63.625,55.032,28,2900,1000
1784934857186,60.000,63.250,79.063,53,2900,1000
1784934857698,61.000,62.750,95.079,70,2900,1000
1784934858208,62.000,62.625,105.048,81,2900,1000
1784934858720,62.000,62.750,111.034,87,2900,1000
1784934859230,64.000,63.000,114.078,91,2900,1000
1784934859738,63.000,63.250,116.088,94,2900,1000
1784934860246,63.000,63.375,118.013,95,2900,1000
1784934860757,64.000,63.625,118.086,96,2900,1000
1784934861268,63.000,63.750,117.063,94,2900,1000
1784934861779,64.000,63.875,118.059,95,2900,1000
1784934862289,64.000,64.000,119.014,96,2900,1000
1784934862800,64.000,64.125,119.046,96,2900,1000
1784934863309,64.000,64.250,119.069,97,2900,1000
1784934863819,64.000,64.375,119.080,97,2900,1000
1784934864329,63.000,64.375,119.095,97,2900,1000
1784934864840,64.000,64.375,119.091,97,2900,1000
1784934865352,65.000,64.500,119.098,97,2900,1000
1784934865862,65.000,64.500,118.063,95,2900,1000
1784934866373,65.000,64.750,119.016,96,2900,1000
1784934866884,64.000,65.000,119.046,97,2900,1000
1784934867395,66.000,65.125,119.072,97,2900,1000
1784934867906,64.000,65.250,119.082,97,2900,1000
1784934868416,66.000,65.375,119.091,97,2900,1000
1784934868927,65.000,65.500,119.094,97,2900,1000
1784934869437,66.000,65.750,119.099,97,2900,1000
1784934869947,67.000,65.875,119.097,98,2900,1000
1784934870457,65.000,65.875,119.098,98,2900,1000
1784934870965,65.000,65.875,119.099,98,2900,1000
1784934871474,66.000,65.875,118.067,95,2900,1000
1784934871985,65.000,65.875,119.019,96,2900,1000
1784934872494,66.000,66.000,119.051,96,2900,1000
1784934873006,65.000,66.000,119.071,96,2900,1000
1784934873515,66.000,66.125,119.088,97,2900,1000
1784934874027,65.000,66.250,119.088,97,2900,1000
1784934874539,65.000,66.250,119.095,97,2900,1000
1784934875049,66.000,66.375,119.097,97,2900,1000
1784934875561,66.000,66.375,119.099,97,2900,1000
1784934876072,66.000,66.500,119.095,98,2900,1000
1784934876581,65.000,66.625,119.098,97,2900,1000
1784934877092,66.000,66.625,119.004,95,2900,1000
1784934877604,66.000,66.625,119.038,96,2900,1000
1784934878113,66.000,66.625,119.072,96,2900,1000
1784934878623,66.000,66.875,119.076,97,2900,1000
1784934879132,66.000,66.875,119.090,97,2900,1000
1784934879641,67.000,67.000,119.089,97,2900,1000
1784934880151,66.000,67.000,119.094,97,2900,1000
1784934880661,67.000,67.125,120.002,97,2900,1000
1784934881170,66.000,67.125,120.002,97,2900,1000
1784934881683,66.000,67.250,120.000,97,2900,1000
1784934882194,69.000,67.375,119.039,96,2900,1000
1784934882707,68.000,67.500,119.013,96,2900,1000
1784934883216,68.000,67.625,119.047,96,2900,1000
1784934883729,68.000,67.750,119.069,97,2900,1000
1784934884239,67.000,67.750,119.083,97,2900,1000
1784934884751,68.000,67.750,119.088,97,2900,1000
1784934885262,68.000,67.875,119.094,97,2900,1000
1784934885772,66.000,67.875,119.092,97,2900,1000
1784934886284,68.000,68.000,119.095,97,2900,1000
1784934886794,68.000,68.000,119.097,97,2900,1000
