profile,prompt,repeat,prompt_tokens,generated_tokens,prompt_tps,decode_tps,draft_generated,draft_accepted,draft_acceptance,wall_seconds,content_sha256,content_preview
hip-baseline,short,1,69,128,208.08641919461508,51.594283514618716,0,0,,2.813836891000392,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
hip-baseline,short,2,69,128,242.4387227344277,50.983544264470765,0,0,,2.8101109959970927,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
hip-baseline,short,3,69,128,241.97790636507105,51.45126740952114,0,0,,2.7743137040088186,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
hip-baseline,3k,1,3093,128,770.4346392196317,50.23632659420862,0,0,,6.565843730990309,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
hip-baseline,3k,2,3093,128,815.1394025420858,50.20952670852625,0,0,,6.346977093009627,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
hip-baseline,3k,3,3093,128,810.4982716969444,50.191708800253465,0,0,,6.369593399998848,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
hip-mtp-n4-p000,short,1,69,128,193.38890227974687,81.84724107657257,102,98,0.9607843137254902,1.9218456399976276,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
hip-mtp-n4-p000,short,2,69,128,247.67223989030632,84.47272520890502,101,99,0.9801980198019802,1.8088045769982273,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
hip-mtp-n4-p000,short,3,69,128,246.794355920382,84.23945591841408,101,99,0.9801980198019802,1.8003428600059124,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
hip-mtp-n4-p000,3k,1,3093,128,789.3717336012041,84.15975362232128,101,100,0.9900990099009901,5.442172994007706,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
hip-mtp-n4-p000,3k,2,3093,128,795.9619791119813,82.80635926962204,101,100,0.9900990099009901,5.434652681011357,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
hip-mtp-n4-p000,3k,3,3093,128,795.2203477681381,83.82504142135836,101,100,0.9900990099009901,5.419446956992033,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
