0.00.031.964 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.032.154 I srv          init: The UI is disabled
0.00.032.156 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.032.240 W srv  llama_server: -----------------
0.00.032.241 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.032.242 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.032.242 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.032.242 W srv  llama_server: -----------------
0.00.033.436 I srv    load_model: loading model '/home/hoge-heer/models/Qwen3-Next-80B-A3B-Instruct-UD-Q4_K_XL.gguf'
0.00.460.183 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.07.058.689 I common_speculative_init_result: loading draft model '/home/hoge-heer/local-scratch/models/qwen3-next-mtp/Qwen3-Next-80B-A3B-Instruct-MTP-ONLY-Q4_K_M.gguf'
0.07.144.118 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.08.615.495 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.08.692.016 I srv  llama_server: model loaded
0.08.692.022 I srv  llama_server: listening on http://127.0.0.1:18103
0.10.036.686 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.10.036.756 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.23.905.395 I slot print_timing: id  0 | task 0 | n_decoded =    101, tg =   7.67 t/s, tg_3s =   7.67 t/s
0.26.924.925 I slot print_timing: id  0 | task 0 | n_decoded =    125, tg =   7.72 t/s, tg_3s =   7.95 t/s
0.27.300.382 I slot print_timing: id  0 | task 0 | prompt eval time =     701.86 ms /    69 tokens (   10.17 ms per token,    98.31 tokens per second)
0.27.300.387 I slot print_timing: id  0 | task 0 |        eval time =   16561.71 ms /   128 tokens (  129.39 ms per token,     7.73 tokens per second)
0.27.300.387 I slot print_timing: id  0 | task 0 |       total time =   17263.56 ms /   197 tokens
0.27.300.393 I slot print_timing: id  0 | task 0 |    graphs reused =         40
0.27.300.396 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (   84 accepted /    84 generated), mean len =  2.95
0.27.300.464 I slot      release: id  0 | task 0 | stop processing: n_tokens = 196, truncated = 0
0.27.312.734 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.352
0.27.678.801 I slot launch_slot_: id  0 | task 46 | processing task, is_child = 0
0.41.241.468 I slot print_timing: id  0 | task 46 | n_decoded =    102, tg =   7.92 t/s, tg_3s =   7.92 t/s
0.44.290.602 I slot print_timing: id  0 | task 46 | n_decoded =    126, tg =   7.91 t/s, tg_3s =   7.87 t/s
0.44.671.345 I slot print_timing: id  0 | task 46 | prompt eval time =     677.20 ms /    69 tokens (    9.81 ms per token,   101.89 tokens per second)
0.44.671.350 I slot print_timing: id  0 | task 46 |        eval time =   16315.29 ms /   128 tokens (  127.46 ms per token,     7.85 tokens per second)
0.44.671.351 I slot print_timing: id  0 | task 46 |       total time =   16992.49 ms /   197 tokens
0.44.671.352 I slot print_timing: id  0 | task 46 |    graphs reused =         80
0.44.671.355 I slot print_timing: id  0 | task 46 | draft acceptance = 1.00000 (   84 accepted /    84 generated), mean len =  2.95
0.44.671.395 I slot      release: id  0 | task 46 | stop processing: n_tokens = 196, truncated = 0
0.44.673.037 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.352
0.44.673.083 I slot launch_slot_: id  0 | task 92 | processing task, is_child = 0
0.58.241.691 I slot print_timing: id  0 | task 92 | n_decoded =    102, tg =   7.91 t/s, tg_3s =   7.91 t/s
1.01.267.149 I slot print_timing: id  0 | task 92 | n_decoded =    126, tg =   7.92 t/s, tg_3s =   7.93 t/s
1.01.643.256 I slot print_timing: id  0 | task 92 | prompt eval time =     676.41 ms /    69 tokens (    9.80 ms per token,   102.01 tokens per second)
1.01.643.261 I slot print_timing: id  0 | task 92 |        eval time =   16293.72 ms /   128 tokens (  127.29 ms per token,     7.86 tokens per second)
1.01.643.261 I slot print_timing: id  0 | task 92 |       total time =   16970.14 ms /   197 tokens
