profile,prompt,repeat,prompt_tokens,generated_tokens,prompt_tps,decode_tps,draft_generated,draft_accepted,draft_acceptance,wall_seconds,content_sha256,content_preview
baseline,short,1,69,128,83.33756060090005,61.33749278206262,0,0,,2.9158902630006196,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
baseline,short,2,69,128,100.71742922411086,61.3915645112632,0,0,,3.154119957005605,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
baseline,short,3,69,128,102.9554173200854,61.27257391722267,0,0,,2.760466327992617,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
baseline,3k,1,3093,128,709.4256358855148,58.896554643579215,0,0,,6.536202000002959,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
baseline,3k,2,3093,128,717.9245782280145,59.46297500696832,0,0,,6.464634809002746,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
baseline,3k,3,3093,128,713.1166193522743,59.10836872908695,0,0,,6.505763594992459,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
mtp-n2-p060,short,1,69,128,98.31090467404236,7.728670529794327,84,84,1.0,17.275446954998188,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
mtp-n2-p060,short,2,69,128,101.8898349384674,7.845401460838269,84,84,1.0,17.359836567993625,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
mtp-n2-p060,short,3,69,128,102.00868404362423,7.855785936707037,84,84,1.0,16.971434630002477,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
mtp-n2-p060,3k,1,3093,128,706.3491954744323,7.98398910784286,84,84,1.0,20.414062979005394,574a92aee3e6d73ba1c631a899d4c0d09bacd3ecad08f4ac072b3940c5f9e3a4, event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next status=ok event=healthy backend=Vulkan0 model=qwen3next s
