run,prompt_tokens,prompt_seconds,prompt_tps,generated_tokens,generation_seconds,generation_tps,load_seconds,total_seconds
"cold",45,0.433114,103.89874259432851,128,6.088687,21.022594855015537,6.379752477,12.903940428
"warm_1",45,0.152356,295.3608653416997,128,6.314109,20.272060555178886,0.204385427,6.727606204
"warm_2",45,0.153151,293.8276602829887,128,6.325598,20.235241000139432,0.19946274,6.751064916
"warm_3",45,0.154928,290.4575028400289,128,6.18144,20.707149143241704,0.198528992,6.536660704
"warm_4",45,0.154687,290.91003122434336,128,6.447815,19.851686191368703,0.192452326,6.796730751
"warm_5",45,0.153327,293.4903832984406,128,6.302088,20.31072876164217,0.199217449,6.656578398
"warm_6",45,0.153988,292.23056342052627,128,6.188824,20.682443061880576,0.200379915,6.545532407
"warm_7",45,0.154358,291.53007942575056,128,6.334604,20.206472259355124,0.194624057,6.686078065
"warm_8",45,0.154316,291.60942481661004,128,6.181689,20.706315054024877,0.197391856,6.535868737
"warm_9",45,0.153597,292.9744721576593,128,6.155444,20.794600681932934,0.198238262,6.509429906
