run,prompt_tokens,prompt_seconds,prompt_tps,generated_tokens,generation_seconds,generation_tps,load_seconds,total_seconds
"cold",45,0.249489,180.3686735687746,128,1.560178,82.04192085774828,11.359536349,13.209140486
"warm_1",45,0.041495,1084.4680081937584,128,1.850261,69.17942928051772,0.001730139,1.915007874
"warm_2",45,0.040029,1124.1849658997226,128,1.827798,70.0296203409786,0.01067512,1.904771363
"warm_3",45,0.040474,1111.8248752285417,128,1.682264,76.08793863507749,0.010263654,1.759732405
"warm_4",45,0.04268,1054.3580131208996,128,1.696074,75.46840527005307,0.02021771,1.760804083
"warm_5",45,0.044094,1020.5470131990746,128,1.694412,75.54243005833293,0.030748066,1.771243491
"warm_6",45,0.042983,1046.9255286973919,128,1.68864,75.8006443054766,0.011244505,1.744850646
"warm_7",45,0.041818,1076.0916351810224,128,1.68383,76.01717513050605,0.011307458,1.738472463
"warm_8",45,0.042495,1058.9481115425344,128,1.691697,75.66366790270362,0.010660701,1.746592277
"warm_9",45,0.043601,1032.0864200362378,128,1.667049,76.78238612062393,0.00132268,1.713775047
