run,prompt_tokens,prompt_seconds,prompt_tps,generated_tokens,generation_seconds,generation_tps,load_seconds,total_seconds
"cold",45,0.192505,233.76016207371237,128,1.843586,69.42990454472968,5.662219981,7.700581748
"warm_1",45,0.041728,1078.4125766871166,128,1.839362,69.58934674088081,0.000994729,1.909535465
"warm_2",45,0.04333,1038.5414262635588,128,1.826182,70.0915899948636,0.000979569,1.906910844
"warm_3",45,0.045046,998.978821648981,128,1.818278,70.39627603699763,0.000981904,1.909045635
"warm_4",45,0.04569,984.898227183191,128,1.825186,70.12983882190638,0.001016882,1.873553756
"warm_5",45,0.045402,991.1457645037664,128,1.814136,70.55700344406374,0.001055918,1.862293501
"warm_6",45,0.047169,954.0164090822361,128,1.801767,71.04137216410335,0.000857489,1.851307522
"warm_7",45,0.051408,875.3501400560224,128,1.815043,70.52174521485166,0.000875084,1.868829273
"warm_8",45,0.045615,986.5175928970733,128,1.817357,70.43195145477746,0.000901225,1.865758047
"warm_9",45,0.046125,975.609756097561,128,1.818948,70.37034593622248,0.000912187,1.868029346
