run,prompt_tokens,prompt_seconds,prompt_tps,generated_tokens,generation_seconds,generation_tps,load_seconds,total_seconds
"cold",45,0.232532,193.52175184490739,128,1.823434,70.19722128686863,20.449000037,22.506562183
"warm_1",45,0.037821,1189.815182041723,128,1.820436,70.31282615812916,0.000828323,1.877259497
"warm_2",45,0.038874,1157.5860472295108,128,1.817277,70.43505200362961,0.001060447,1.882210153
"warm_3",45,0.037763,1191.642613139846,128,1.836222,69.7083468120957,0.001035318,1.898528185
"warm_4",45,0.040996,1097.6680651770905,128,1.820744,70.30093192672885,0.001049155,1.864449506
"warm_5",45,0.040805,1102.8060286729567,128,1.816442,70.4674302840388,0.001028955,1.860033846
"warm_6",45,0.0407,1105.6511056511056,128,1.817425,70.42931620286944,0.001041631,1.86117947
"warm_7",45,0.040888,1100.5674036392095,128,1.816958,70.44741815716158,0.001040468,1.86078629
"warm_8",45,0.040844,1101.7530114582314,128,1.822891,70.21813152843478,0.001256531,1.866633753
"warm_9",45,0.040801,1102.9141442611701,128,1.831519,69.88734487602913,0.00088329,1.874981735
