run,prompt_tokens,prompt_seconds,prompt_tps,generated_tokens,generation_seconds,generation_tps,load_seconds,total_seconds
"cold",45,0.380244,118.34506264398648,128,5.602209,22.848130085828643,4.139316702,10.123875253
"warm_1",45,0.121637,369.9532214704408,128,5.592178,22.889114044653088,0.001058714,5.75314626
"warm_2",45,0.1257,357.99522673031026,128,5.699226,22.459190072476506,0.001090927,5.828118207
"warm_3",45,0.124493,361.4661065280779,128,5.640387,22.693478302109412,0.000889111,5.767362042
"warm_4",45,0.127782,352.1622763769545,128,5.669817,22.57568454149402,0.000914331,5.800237735
"warm_5",45,0.124443,361.61134013162655,128,5.650865,22.6513993875274,0.000900334,5.778415561
"warm_6",45,0.127757,352.2311888976729,128,5.619117,22.779379749522924,0.000913739,5.74983611
"warm_7",45,0.123913,363.15802216070955,128,5.621847,22.768317956714228,0.001009818,5.748668904
"warm_8",45,0.123577,364.1454315932576,128,5.620029,22.775683185976444,0.00107724,5.746690428
"warm_9",45,0.125936,357.32435522805235,128,5.618848,22.7804703028094,0.000928278,5.747343073
