run,prompt_tokens,prompt_seconds,prompt_tps,generated_tokens,generation_seconds,generation_tps,load_seconds,total_seconds
"cold",45,0.347308,129.56799152337408,128,9.930138,12.890052484668391,4.414639807,14.694439295
"warm_1",45,0.115465,389.7284891525571,128,9.925661,12.895866582588303,0.001109162,10.07908393
"warm_2",45,0.114956,391.4541215769512,128,9.920555,12.90250394257176,0.001043624,10.08820381
"warm_3",45,0.119936,375.2001067235859,128,9.931839,12.88784483920853,0.001028294,10.054317031
"warm_4",45,0.117552,382.8093099224173,128,9.933029,12.886300845391673,0.00103123,10.05335785
"warm_5",45,0.116305,386.9137182408323,128,9.934363,12.884570455096116,0.001023876,10.053744453
"warm_6",45,0.116546,386.1136375336777,128,9.944861,12.870969237277425,0.00099052,10.064109832
"warm_7",45,0.116623,385.85870711609203,128,9.932357,12.887172702310238,0.000967675,10.051553326
"warm_8",45,0.118212,380.6720129936047,128,9.945397,12.870275565671236,0.00085754,10.066144793
"warm_9",45,0.117436,383.18743826424605,128,9.925482,12.896099151658326,0.001030428,10.045779701
